segment_id,document_id,component_id,section_id,source_sha256,source_text,target_text,status
O006-PSU-000-S0001,O006-PSU-000,index,,e434f6206b5ed8bfa8afbca64d07d1d0f7f42298d2d315da3327ca71fe839be2,STAT 415 | Introduction to Mathematical Statistics,STAT 415 | Pengantar Statistika Matematis,translated
O006-PSU-000-S0002,O006-PSU-000,index,about-this-course,b2763715219458978f96a11963320dc732d3c55062d656f020b2994ea07a6cd9,About this course,Tentang mata kuliah ini,translated
O006-PSU-000-S0003,O006-PSU-000,index,about-this-course,c57a91172df000e58439831f4fe096e797bbe719d701ba6869d449d78f858b62,Welcome to the course notes for STAT 415: Introduction to Mathematical Statistics. These notes are designed and developed by ,Selamat datang di catatan mata kuliah STAT 415: Pengantar Statistika Matematis. Catatan ini dirancang dan dikembangkan oleh ,translated
O006-PSU-000-S0004,O006-PSU-000,index,about-this-course,4da3a5e25ddc7713b66eacede566b945b0fb2e7e9b1d56867a0ce9e844932362,Penn State’s Department of Statistics,Departemen Statistika Penn State,translated
O006-PSU-000-S0005,O006-PSU-000,index,about-this-course,c6cd91575c89963534d341d2967b294cbf2f928131f3bb93de8aa24c3e188aac, and offered as open educational resources. These notes are free to use under Creative Commons license , dan disediakan sebagai sumber daya pendidikan terbuka. Catatan ini dapat digunakan secara gratis berdasarkan lisensi Creative Commons ,translated
O006-PSU-000-S0006,O006-PSU-000,index,about-this-course,a9beb48f37b8512d88d15415342682bcbf67153fa6652edd7a4573769c11ac3a,CC BY-NC 4.0,CC BY-NC 4.0,translated
O006-PSU-000-S0007,O006-PSU-000,index,about-this-course,0ca6955533a8c4fbbf2b9d2751f184b499b788aeee4518f99073009a4b6c0b94,This course is part of the Online Master of Applied Statistics program offered by Penn State’s World Campus.,Mata kuliah ini merupakan bagian dari program Magister Statistika Terapan daring yang ditawarkan oleh World Campus Penn State.,translated
O006-PSU-000-S0008,O006-PSU-000,index,about-this-course,947fa4763833efc2753d25426e87f7c2825bcd145a7fb8997f1ecb6cc01afbcc,Ready to enroll?,Siap mendaftar?,translated
O006-PSU-000-S0009,O006-PSU-000,index,about-this-course,81019ed104ff770858d4bd91b48b84a09d545b56bd4226e96cd05e9224a4f7df,Currently enrolled?,Sudah terdaftar?,translated
O006-PSU-000-S0010,O006-PSU-000,index,about-this-course,10f7cdc94b280c3a7e1cab0ccaf6e4e43588a5005ea44ab237c54919e668c1ce,"If you are a current student in this course, please see ","Jika Anda saat ini terdaftar sebagai mahasiswa dalam mata kuliah ini, silakan lihat ",translated
O006-PSU-000-S0011,O006-PSU-000,index,about-this-course,3824a9f4dafe92c6f1b80b40656a59784c03a824c27d58125d7d0ace753e2df2,Canvas,Canvas,translated
O006-PSU-000-S0012,O006-PSU-000,index,about-this-course,712a14c4b96c60f855c0555ed0a14bed8ce5e5b14a12093d9b344d93ad660c14," for your syllabus, assignments, lesson videos, and communication from your instructor."," untuk silabus, tugas, video pelajaran, dan komunikasi dari pengajar Anda.",translated
O006-PSU-000-S0013,O006-PSU-000,index,lessons,cb4ad503e340ebd1a921e3ed6dcbfc0a80660936d8bfc9d190f70694b9ccb51b,Lessons,Pelajaran,translated
O006-PSU-000-S0014,O006-PSU-000,index,lessons,120ea10b8ab1186ef519e2cbeebac072bdb6d53e25a92a43a99b3a8c20f14e21,"
0: Review Concepts from STAT 414
","
0: Tinjauan Konsep dari STAT 414
",translated
O006-PSU-000-S0015,O006-PSU-000,index,lessons,7fe7bf5ec1c8feb5f8b2a4f0b8f3bbdc68dcfbad7ce63502b64f862d05495157,Distributions,Distribusi,translated
O006-PSU-000-S0016,O006-PSU-000,index,lessons,968d630f5a7f29eff12f987d013c5ca8b63619a8d23c2a804814b0ece18b5092,Bayes',Bayes,translated
O006-PSU-000-S0017,O006-PSU-000,index,lessons,9c9be01ba2123edfb4cecc60ff81e5b802abe9bbe88193b3a2bc25a095874612,Probability,Peluang,translated
O006-PSU-000-S0018,O006-PSU-000,index,lessons,f97460ba6fb160fdabe46d2abfa23d27aa69732f38d87ae8bc59bdcb4f19d333,Central Limit Theorem,Teorema Limit Pusat,translated
O006-PSU-000-S0019,O006-PSU-000,index,lessons,babdcc1f61176e4813830f0ca8b12335d45a4124c3aa5546caa2c20e5a3dde4c,"
Order Statistics
","
Statistik Urutan
",translated
O006-PSU-000-S0020,O006-PSU-000,index,lessons,029fe576df8ec1d8a1a05259d7b860c407b070913d0690d1a2284182c9167522,Order Statistics,Statistik Urutan,translated
O006-PSU-000-S0021,O006-PSU-000,index,lessons,d8ca72646f1af7943cb5a91006ad72433c3a615683bf850d97461a0c738864af,Probability Density Functions,Fungsi Kepadatan Peluang,translated
O006-PSU-000-S0022,O006-PSU-000,index,lessons,db3e773b11e14031689ddec58272756f0ea985766d93aef16ec1a4bf0a50d5b7,"
Estimation (Part I)
","
Estimasi (Bagian I)
",translated
O006-PSU-000-S0023,O006-PSU-000,index,lessons,2ba51b28da5b3a4e834a788db58084caf1b37e52630af7cd05852b315dcb817f,Point Estimation,Estimasi Titik,translated
O006-PSU-000-S0024,O006-PSU-000,index,lessons,3aa98e8fe10c2baf025b4f445d10a432701a6fd01f49a880d162a6bf3084df0c,Unbiased Estimation,Estimasi Tak Bias,translated
O006-PSU-000-S0025,O006-PSU-000,index,lessons,5c2470002888bd8e7f0965f8d11c9e0ba6372a06eaad763b70d77b7dc029268d,Bias,Bias,translated
O006-PSU-000-S0026,O006-PSU-000,index,lessons,6a99db7f7b3f908afd6b459725e38efdc31b65bc5fbc1abd3d9f2b76985ef088,Variance and Mean Square,Varians dan Rata-Rata Kuadrat,translated
O006-PSU-000-S0027,O006-PSU-000,index,lessons,183ebddaaa90c204b6bb019d6c78a043efafc4348d28f675b047abe015711282,Factorization,Faktorisasi,translated
