model_id,term_id,source_column,unit,n,p,rank,df,estimate,se_gaussian,t,p_raw,ci95_point_lo,ci95_point_hi,se_HC3,z_HC3,p_HC3,ci95_HC3_lo,ci95_HC3_hi
FULL_ADDITIVE_RAW,INTERCEPT,NA,MPa,1030,9,9,1021,-23.33121358,26.58550397,-0.87759155,0.38037187,-75.49968676,28.83725959,29.64633724,-0.78698469,0.43129083,-81.43696685,34.77453968
FULL_ADDITIVE_RAW,CEMENT,cement_kg_per_m3,MPa_per_kg_per_m3,1030,9,9,1021,0.11980433,0.00848902,14.11286339,1.89798900e-41,0.10314642,0.13646225,0.00931251,12.86488757,7.09450782e-38,0.10155216,0.13805651
FULL_ADDITIVE_RAW,SLAG,blast_furnace_slag_kg_per_m3,MPa_per_kg_per_m3,1030,9,9,1021,0.10386581,0.01013580,10.24741906,1.59899304e-23,0.08397642,0.12375519,0.01152777,9.01005295,2.05957033e-19,0.08127180,0.12645982
FULL_ADDITIVE_RAW,FLY_ASH,fly_ash_kg_per_m3,MPa_per_kg_per_m3,1030,9,9,1021,0.08793432,0.01258332,6.98816754,5.01964754e-12,0.06324220,0.11262644,0.01314036,6.69192794,2.20249332e-11,0.06217970,0.11368895
FULL_ADDITIVE_RAW,WATER,water_kg_per_m3,MPa_per_kg_per_m3,1030,9,9,1021,-0.14991842,0.04017704,-3.73144550,0.00020088,-0.22875742,-0.07107942,0.04573796,-3.27776789,0.00104631,-0.23956317,-0.06027366
FULL_ADDITIVE_RAW,SUPERPLASTICIZER,superplasticizer_kg_per_m3,MPa_per_kg_per_m3,1030,9,9,1021,0.29222460,0.09342408,3.12793655,0.00181024,0.10889944,0.47554975,0.10539051,2.77277901,0.00555799,0.08566299,0.49878620
FULL_ADDITIVE_RAW,COARSE_AGGREGATE,coarse_aggregate_kg_per_m3,MPa_per_kg_per_m3,1030,9,9,1021,0.01808621,0.00939224,1.92565590,0.05442481,-0.00034408,0.03651651,0.01032721,1.75131665,0.07989138,-0.00215474,0.03832717
FULL_ADDITIVE_RAW,FINE_AGGREGATE,fine_aggregate_kg_per_m3,MPa_per_kg_per_m3,1030,9,9,1021,0.02019035,0.01070168,1.88665159,0.05949075,-0.00080946,0.04119016,0.01173577,1.72041105,0.08535775,-0.00281134,0.04319204
FULL_ADDITIVE_RAW,AGE,age_days,MPa_per_day,1030,9,9,1021,0.11422207,0.00542715,21.04642624,5.78249124e-82,0.10357243,0.12487171,0.00856523,13.33555164,1.43787142e-40,0.09743453,0.13100961
REDUCED_NO_SLG_FLY_SP,INTERCEPT,NA,MPa,1030,6,6,1024,223.10688324,10.12560583,22.03392932,2.25953476e-88,203.23757550,242.97619097,10.28196830,21.69884956,2.10360032e-104,202.95459569,243.25917079
REDUCED_NO_SLG_FLY_SP,CEMENT,cement_kg_per_m3,MPa_per_kg_per_m3,1030,6,6,1024,0.04833620,0.00356224,13.56902991,1.08730021e-38,0.04134606,0.05532633,0.00360037,13.42532925,4.29670460e-41,0.04127959,0.05539280
REDUCED_NO_SLG_FLY_SP,WATER,water_kg_per_m3,MPa_per_kg_per_m3,1030,6,6,1024,-0.46652816,0.02026469,-23.02172601,7.58813202e-95,-0.50629323,-0.42676309,0.02337809,-19.95578491,1.33510057e-88,-0.51234838,-0.42070794
REDUCED_NO_SLG_FLY_SP,COARSE_AGGREGATE,coarse_aggregate_kg_per_m3,MPa_per_kg_per_m3,1030,6,6,1024,-0.06516334,0.00483972,-13.46428547,3.63869828e-38,-0.07466024,-0.05566645,0.00456707,-14.26809003,3.45923540e-46,-0.07411463,-0.05621205
REDUCED_NO_SLG_FLY_SP,FINE_AGGREGATE,fine_aggregate_kg_per_m3,MPa_per_kg_per_m3,1030,6,6,1024,-0.07466508,0.00534963,-13.95706724,1.17185634e-40,-0.08516256,-0.06416760,0.00536649,-13.91320337,5.26667705e-44,-0.08518321,-0.06414695
REDUCED_NO_SLG_FLY_SP,AGE,age_days,MPa_per_day,1030,6,6,1024,0.10916800,0.00569499,19.16914210,3.17576339e-70,0.09799282,0.12034318,0.00884202,12.34649505,5.08802031e-35,0.09183795,0.12649805
