p,replications,bayes_exact_coverage,bayes_mc_coverage,clopper_pearson_exact_coverage,clopper_pearson_mc_coverage,bayes_expected_width,clopper_pearson_expected_width
0.01,80000,0.0000000000,0.0000000000,0.9831406624,0.9836875000,0.2173585676,0.1838326302
0.02,80000,0.6676079718,0.6688000000,0.9929313066,0.9934875000,0.2255774739,0.1984469331
0.03,80000,0.8801619777,0.8792625000,0.9789916436,0.9789000000,0.2334525606,0.2123204907
0.04,80000,0.8103377954,0.8099750000,0.9925870629,0.9925500000,0.2410015319,0.2254951671
0.05,80000,0.9245163262,0.9253500000,0.9840984740,0.9844250000,0.2482407235,0.2380105508
0.06,80000,0.8850275957,0.8868750000,0.9943658575,0.9948875000,0.2551852170,0.2499039596
0.07,80000,0.8389971173,0.8388250000,0.9892931957,0.9887500000,0.2618489457,0.2612104725
0.08,80000,0.9293848226,0.9298125000,0.9816556009,0.9824000000,0.2682447899,0.2719629827
0.09,80000,0.9006680047,0.9013000000,0.9932105674,0.9934875000,0.2743846645,0.2821922659
0.10,80000,0.8670466766,0.8664625000,0.9887468658,0.9881500000,0.2802795979,0.2919270610
0.11,80000,0.9389750309,0.9386125000,0.9824518023,0.9821875000,0.2859398047,0.3011941586
0.12,80000,0.9172806238,0.9175000000,0.9933113970,0.9930500000,0.2913747516,0.3100184949
0.13,80000,0.8917491753,0.8932625000,0.9896526179,0.9896500000,0.2965932174,0.3184232492
0.14,80000,0.9493272607,0.9498875000,0.9846561757,0.9851000000,0.3016033482,0.3264299418
0.15,80000,0.9326920258,0.9336625000,0.9780648991,0.9784500000,0.3064127066,0.3340585321
0.16,80000,0.9130031550,0.9121125000,0.9912005656,0.9910500000,0.3110283180,0.3413275149
0.17,80000,0.9591167716,0.9587625000,0.9632629543,0.9631375000,0.3154567116,0.3482540142
0.18,80000,0.9463266892,0.9465875000,0.9634014932,0.9622500000,0.3197039587,0.3548538738
0.19,80000,0.9310956381,0.9311625000,0.9610854893,0.9608500000,0.3237757068,0.3611417443
0.20,80000,0.9678573369,0.9677625000,0.9784889986,0.9786000000,0.3276772117,0.3671311653
