x,n,posterior_a,posterior_b,bayes_lower,bayes_upper,bayes_posterior_mass,clopper_pearson_lower,clopper_pearson_upper
0,20,2,22,0.010709966038,0.219486607453,0.950000000000,0.000000000000,0.168433470983
1,20,3,21,0.027751507423,0.280379335909,0.950000000000,0.001265089498,0.248732762772
2,20,4,20,0.049507645306,0.335889137537,0.950000000000,0.012348527170,0.316982714019
3,20,5,19,0.074603407649,0.387811889955,0.950000000000,0.032070937185,0.378926826545
4,20,6,18,0.102286133915,0.437030726237,0.950000000000,0.057333997050,0.436614002997
5,20,7,17,0.132102879698,0.484051970402,0.950000000000,0.086571469101,0.491045871708
6,20,8,16,0.163763598375,0.529191666009,0.950000000000,0.118931590406,0.542789182276
7,20,9,15,0.197076423969,0.572656036964,0.950000000000,0.153909204785,0.592188534533
8,20,10,14,0.231914199538,0.614581042611,0.950000000000,0.191190060725,0.639457412693
9,20,11,13,0.268196186176,0.655053392548,0.950000000000,0.230577896776,0.684721866959
10,20,12,12,0.305878001491,0.694121998509,0.950000000000,0.271957849561,0.728042150439
11,20,13,11,0.344946607452,0.731803813824,0.950000000000,0.315278133041,0.769422103224
12,20,14,10,0.385418957389,0.768085800462,0.950000000000,0.360542587307,0.808809939275
13,20,15,9,0.427343963036,0.802923576031,0.950000000000,0.407811465467,0.846090795215
14,20,16,8,0.470808333991,0.836236401625,0.950000000000,0.457210817724,0.881068409594
15,20,17,7,0.515948029598,0.867897120302,0.950000000000,0.508954128292,0.913428530899
16,20,18,6,0.562969273763,0.897713866085,0.950000000000,0.563385997003,0.942666002950
17,20,19,5,0.612188110045,0.925396592351,0.950000000000,0.621073173455,0.967929062815
18,20,20,4,0.664110862463,0.950492354694,0.950000000000,0.683017285981,0.987651472830
19,20,21,3,0.719620664091,0.972248492577,0.950000000000,0.751267237228,0.998734910502
20,20,22,2,0.780513392547,0.989290033962,0.950000000000,0.831566529017,1.000000000000
