metric_id,model_id,subset_id,term_id,n,p,rank,df,numeric_value,text_value,unit
LEVERAGE_ONLY_COUNT,FULL_ADDITIVE_RAW,ALL_ROWS,NA,1030,9,9,1021,44,,rows
COOK_ONLY_COUNT,FULL_ADDITIVE_RAW,ALL_ROWS,NA,1030,9,9,1021,43,,rows
INTERSECTION_COUNT,FULL_ADDITIVE_RAW,ALL_ROWS,NA,1030,9,9,1021,36,,rows
UNION_COUNT,FULL_ADDITIVE_RAW,ALL_ROWS,NA,1030,9,9,1021,123,,rows
RETAINED_COUNT,FULL_ADDITIVE_RAW,ALL_ROWS,NA,1030,9,9,1021,907,,rows
RSS,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,NA,907,9,9,898,55945.99928758,,MPa2
S2,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,NA,907,9,9,898,62.30066736,,MPa2
S,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,NA,907,9,9,898,7.89307718,,MPa
R2,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,NA,907,9,9,898,0.76471227,,dimensionless
KAPPA2_SCALED,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,NA,907,9,9,898,9.47005812,,dimensionless
RSS,REDUCED_NO_SLG_FLY_SP_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,NA,907,6,6,901,67094.75185855,,MPa2
S2,REDUCED_NO_SLG_FLY_SP_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,NA,907,6,6,901,74.46698319,,MPa2
S,REDUCED_NO_SLG_FLY_SP_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,NA,907,6,6,901,8.62942543,,MPa
R2,REDUCED_NO_SLG_FLY_SP_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,NA,907,6,6,901,0.71782483,,dimensionless
KAPPA2_SCALED,REDUCED_NO_SLG_FLY_SP_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,NA,907,6,6,901,2.00647671,,dimensionless
COEFFICIENT_ESTIMATE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,INTERCEPT,907,9,9,898,-1.89571229,,MPa
COEFFICIENT_DELTA_FROM_PRIMARY,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,INTERCEPT,907,9,9,898,21.43550129,,MPa
COEFFICIENT_DELTA_IN_PRIMARY_SE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,INTERCEPT,907,9,9,898,0.80628531,,primary_SE
COEFFICIENT_ESTIMATE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,CEMENT,907,9,9,898,0.12182106,,MPa_per_kg_per_m3
COEFFICIENT_DELTA_FROM_PRIMARY,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,CEMENT,907,9,9,898,0.00201673,,MPa_per_kg_per_m3
COEFFICIENT_DELTA_IN_PRIMARY_SE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,CEMENT,907,9,9,898,0.23756918,,primary_SE
COEFFICIENT_ESTIMATE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,SLAG,907,9,9,898,0.10492174,,MPa_per_kg_per_m3
COEFFICIENT_DELTA_FROM_PRIMARY,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,SLAG,907,9,9,898,0.00105593,,MPa_per_kg_per_m3
COEFFICIENT_DELTA_IN_PRIMARY_SE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,SLAG,907,9,9,898,0.10417848,,primary_SE
COEFFICIENT_ESTIMATE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,FLY_ASH,907,9,9,898,0.07758453,,MPa_per_kg_per_m3
COEFFICIENT_DELTA_FROM_PRIMARY,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,FLY_ASH,907,9,9,898,-0.01034979,,MPa_per_kg_per_m3
COEFFICIENT_DELTA_IN_PRIMARY_SE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,FLY_ASH,907,9,9,898,-0.82250110,,primary_SE
COEFFICIENT_ESTIMATE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,WATER,907,9,9,898,-0.21665343,,MPa_per_kg_per_m3
COEFFICIENT_DELTA_FROM_PRIMARY,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,WATER,907,9,9,898,-0.06673501,,MPa_per_kg_per_m3
COEFFICIENT_DELTA_IN_PRIMARY_SE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,WATER,907,9,9,898,-1.66102372,,primary_SE
COEFFICIENT_ESTIMATE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,SUPERPLASTICIZER,907,9,9,898,0.36974232,,MPa_per_kg_per_m3
COEFFICIENT_DELTA_FROM_PRIMARY,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,SUPERPLASTICIZER,907,9,9,898,0.07751772,,MPa_per_kg_per_m3
COEFFICIENT_DELTA_IN_PRIMARY_SE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,SUPERPLASTICIZER,907,9,9,898,0.82974028,,primary_SE
COEFFICIENT_ESTIMATE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,COARSE_AGGREGATE,907,9,9,898,0.01184271,,MPa_per_kg_per_m3
COEFFICIENT_DELTA_FROM_PRIMARY,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,COARSE_AGGREGATE,907,9,9,898,-0.00624351,,MPa_per_kg_per_m3
COEFFICIENT_DELTA_IN_PRIMARY_SE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,COARSE_AGGREGATE,907,9,9,898,-0.66475173,,primary_SE
COEFFICIENT_ESTIMATE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,FINE_AGGREGATE,907,9,9,898,0.01231214,,MPa_per_kg_per_m3
COEFFICIENT_DELTA_FROM_PRIMARY,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,FINE_AGGREGATE,907,9,9,898,-0.00787821,,MPa_per_kg_per_m3
COEFFICIENT_DELTA_IN_PRIMARY_SE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,FINE_AGGREGATE,907,9,9,898,-0.73616548,,primary_SE
COEFFICIENT_ESTIMATE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,AGE,907,9,9,898,0.20647805,,MPa_per_day
COEFFICIENT_DELTA_FROM_PRIMARY,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,AGE,907,9,9,898,0.09225598,,MPa_per_day
COEFFICIENT_DELTA_IN_PRIMARY_SE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,AGE,907,9,9,898,16.99898093,,primary_SE
BLOCK_SFP_SS_EXTRA,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,SLAG_FLY_ASH_SUPERPLASTICIZER,907,9,9,898,11148.75257096,,MPa2
BLOCK_SFP_F,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,SLAG_FLY_ASH_SUPERPLASTICIZER,907,9,9,898,59.65025761,,F
BLOCK_SFP_DF1,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,SLAG_FLY_ASH_SUPERPLASTICIZER,907,9,9,898,3,,df
BLOCK_SFP_DF2,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,SLAG_FLY_ASH_SUPERPLASTICIZER,907,9,9,898,898,,df
BLOCK_SFP_P_F,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,SLAG_FLY_ASH_SUPERPLASTICIZER,907,9,9,898,3.60370009e-35,NOMINAL_POST_SELECTION_F__EXPLORATORY_SENSITIVITY_ONLY,p_value
PRIMARY_RMSE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,NA,907,9,9,898,8.77914108,,MPa
REFIT_RMSE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,NA,907,9,9,898,7.85381875,,MPa
PRIMARY_MAE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,NA,907,9,9,898,7.16061471,,MPa
REFIT_MAE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,NA,907,9,9,898,6.15700602,,MPa
PREDICTION_DELTA_RMS,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,NA,907,9,9,898,3.92311728,,MPa
PREDICTION_DELTA_MAE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,NA,907,9,9,898,2.66661017,,MPa
PREDICTION_DELTA_MAX_ABS,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_COMPLEMENT,NA,907,9,9,898,20.76153329,,MPa
PRIMARY_RMSE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_UNION,NA,907,9,9,898,18.14746588,,MPa
REFIT_RMSE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_UNION,NA,907,9,9,898,27.46931114,,MPa
PRIMARY_MAE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_UNION,NA,907,9,9,898,15.98452421,,MPa
REFIT_MAE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_UNION,NA,907,9,9,898,23.61488035,,MPa
PREDICTION_DELTA_RMS,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_UNION,NA,907,9,9,898,14.08008502,,MPa
PREDICTION_DELTA_MAE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_UNION,NA,907,9,9,898,9.10611982,,MPa
PREDICTION_DELTA_MAX_ABS,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,SCREEN_UNION,NA,907,9,9,898,30.44921381,,MPa
PRIMARY_RMSE,FULL_ADDITIVE_RAW_SCREEN_UNION_REFIT,ALL_ROWS,NA,1030,9,9,1021,10.35360981,,MPa
