row_id,source_record,source_line,cook_rank,term_id,estimate_full,estimate_deleted,delta_full_minus_deleted,delta_in_primary_se
CP01-R0611,611,612,1,INTERCEPT,-23.33121358,-22.47323894,-0.85797464,-0.03227227
CP01-R0611,611,612,1,CEMENT,0.11980433,0.11926458,0.00053976,0.06358327
CP01-R0611,611,612,1,SLAG,0.10386581,0.10333927,0.00052654,0.05194860
CP01-R0611,611,612,1,FLY_ASH,0.08793432,0.08724713,0.00068719,0.05461133
CP01-R0611,611,612,1,WATER,-0.14991842,-0.15230698,0.00238857,0.05945101
CP01-R0611,611,612,1,SUPERPLASTICIZER,0.29222460,0.28845177,0.00377283,0.04038387
CP01-R0611,611,612,1,COARSE_AGGREGATE,0.01808621,0.01765997,0.00042625,0.04538310
CP01-R0611,611,612,1,FINE_AGGREGATE,0.02019035,0.02039881,-0.00020846,-0.01947944
CP01-R0611,611,612,1,AGE,0.11422207,0.11659898,-0.00237691,-0.43796748
CP01-R0057,57,58,2,INTERCEPT,-23.33121358,-20.96993648,-2.36127711,-0.08881822
CP01-R0057,57,58,2,CEMENT,0.11980433,0.11945404,0.00035030,0.04126454
CP01-R0057,57,58,2,SLAG,0.10386581,0.10283242,0.00103339,0.10195447
CP01-R0057,57,58,2,FLY_ASH,0.08793432,0.08715118,0.00078314,0.06223617
CP01-R0057,57,58,2,WATER,-0.14991842,-0.15179822,0.00187980,0.04678793
CP01-R0057,57,58,2,SUPERPLASTICIZER,0.29222460,0.29214634,0.00007826,0.00083768
CP01-R0057,57,58,2,COARSE_AGGREGATE,0.01808621,0.01718599,0.00090022,0.09584741
CP01-R0057,57,58,2,FINE_AGGREGATE,0.02019035,0.01890940,0.00128095,0.11969657
CP01-R0057,57,58,2,AGE,0.11422207,0.11625099,-0.00202892,-0.37384618
CP01-R0225,225,226,3,INTERCEPT,-23.33121358,-13.65046382,-9.68074977,-0.36413640
CP01-R0225,225,226,3,CEMENT,0.11980433,0.11753841,0.00226593,0.26692460
CP01-R0225,225,226,3,SLAG,0.10386581,0.10146510,0.00240071,0.23685438
CP01-R0225,225,226,3,FLY_ASH,0.08793432,0.08591101,0.00202331,0.16079312
CP01-R0225,225,226,3,WATER,-0.14991842,-0.16761960,0.01770118,0.44057951
CP01-R0225,225,226,3,SUPERPLASTICIZER,0.29222460,0.26398445,0.02824015,0.30227911
