cell_id,source_record,source_line,clean_record,transmitter,year,canonical_row_sha256,disposition,exclusion_reason
CP02-VHF-2015,1,2,1,VHF,2015,8e783e35bf6e4e03de0ac3e4e91ce6607fdc94cceb36a5c1292c322f06cc903d,kept,
CP02-VHF-2016,2,3,2,VHF,2016,9c9a25d099dc62ed15452b16cf53b30ad2048403649b2f385469b75743732cd9,kept,
CP02-VHF-2017,3,4,3,VHF,2017,72702d3b0ceab2853d331b234d538dcdf314d08c57f7217a40c75ce697a39b26,kept,
CP02-VHF-2018,4,5,4,VHF,2018,80d9d14f0c8e79249700af54c0e692fa1c5ebf480f7ca29a3ba427f886724ffc,kept,
CP02-VHF-2019,5,6,5,VHF,2019,cb57f4ad1aef855cb82f0dacaed5cf42bd2fb3a7ad371d34abcf745c01cb1eb7,kept,
CP02-PTT-2019,9,10,6,PTT,2019,15bae996bb15acf4b4c51c66b1b10565f7b2e7b6d3f8d6e2f1d5923f9a806ffa,kept,
CP02-VHF-2020,6,7,7,VHF,2020,fcf12ab621fadea0e6c5ddfc71e53a12a0dbaf896ebd3a5d070ca0410cd16cb2,kept,
CP02-PTT-2020,10,11,8,PTT,2020,110f49f90a4fa9bad68ceac49167b440b57b1f857026be0d3466376a5f4635bc,kept,
CP02-VHF-2021,7,8,9,VHF,2021,ff6c1900b152a455837fdbf71fd945eef13ee08c3c7a11cdd14886a4fca30d0c,kept,
CP02-PTT-2021,11,12,10,PTT,2021,599b0809007a59edb99b0448109d861eace341978fcfbe9c93193f8718557e4c,kept,
CP02-VHF-2022,8,9,11,VHF,2022,d4486954cce2f062f11954280c5c48b409f73dd07e6dc60e8a2a3620979753c0,kept,
CP02-PTT-2022,12,13,12,PTT,2022,a3d7247092e7e6cb37dc642ece356b614ca17e6fd6e6d5cbc6e400e10e3aea84,kept,
