record_type,sensitivity_type,scenario_id,prior_id,kappa,denominator_id,target_id,target_label,estimand_id,contrast_id,posterior_mean,posterior_median,credible_low_95,credible_high_95,prob_gt_threshold,bayes_action,log_bf10,bf10,prior_odds_10,posterior_odds_10,exact_conditional_p,observed_rate,delta_posterior_mean,abs_delta_posterior_mean,delta_observed_rate,abs_delta_observed_rate,delta_log_bf10,delta_primary_target,delta_from_primary,decision_changed,moment_status,defined_status,status,reason
cell,prior,prior_kappa_1,beta_0p5_0p5,1,primary_conservative_method_1,CP02-VHF-2015,VHF — 2015,cell_probability_primary,,0.96875,,0.848183337885603,0.999967805855676,0.999995783309969,1,-13.6348602739367,1.19799614763874e-06,1,1.19799614763874e-06,0.260769262039784,1,0.0740131578947368,0.0740131578947368,0,0,18.4702354525352,,0.0740131578947368,false,finite,defined,ok_conditional,Proper symmetric prior sensitivity with the same primary estimand.
cell,prior,prior_kappa_1,beta_0p5_0p5,1,primary_conservative_method_1,CP02-VHF-2016,VHF — 2016,cell_probability_primary,,0.984848484848485,,0.925072236570717,0.999984774695675,0.999999999977375,1,-13.6348602739367,1.19799614763874e-06,1,1.19799614763874e-06,0.260769262039784,1,0.0404040404040404,0.0404040404040404,0,0,18.4702354525352,,0.0404040404040404,false,finite,defined,ok_conditional,Proper symmetric prior sensitivity with the same primary estimand.
cell,prior,prior_kappa_1,beta_0p5_0p5,1,primary_conservative_method_1,CP02-VHF-2017,VHF — 2017,cell_probability_primary,,0.975,,0.877690595680087,0.999974494187374,0.999999763400534,1,-13.6348602739367,1.19799614763874e-06,1,1.19799614763874e-06,0.260769262039784,1,0.0619565217391305,0.0619565217391305,0,0,18.4702354525352,,0.0619565217391305,false,finite,defined,ok_conditional,Proper symmetric prior sensitivity with the same primary estimand.
cell,prior,prior_kappa_1,beta_0p5_0p5,1,primary_conservative_method_1,CP02-VHF-2018,VHF — 2018,cell_probability_primary,,0.980769230769231,,0.905317235890417,0.999980554229102,0.999999996745957,1,-13.6348602739367,1.19799614763874e-06,1,1.19799614763874e-06,0.260769262039784,1,0.0497347480106101,0.0497347480106101,0,0,18.4702354525352,,0.0497347480106101,false,finite,defined,ok_conditional,Proper symmetric prior sensitivity with the same primary estimand.
cell,prior,prior_kappa_1,beta_0p5_0p5,1,primary_conservative_method_1,CP02-VHF-2019,VHF — 2019,cell_probability_primary,,0.907407407407407,,0.775415535305209,0.983668864752828,0.999998447722698,1,-13.6348602739367,1.19799614763874e-06,1,1.19799614763874e-06,0.260769262039784,0.923076923076923,0.0407407407407407,0.0407407407407407,0,0,18.4702354525352,,0.0407407407407407,false,finite,defined,ok_conditional,Proper symmetric prior sensitivity with the same primary estimand.
cell,prior,prior_kappa_1,beta_0p5_0p5,1,primary_conservative_method_1,CP02-PTT-2019,PTT — 2019,cell_probability_primary,,0.921052631578947,,0.768388191510474,0.993938655834673,0.999981125521873,1,-13.6348602739367,1.19799614763874e-06,1,1.19799614763874e-06,0.260769262039784,0.944444444444444,0.0574162679425837,0.0574162679425837,0,0,18.4702354525352,,0.0574162679425837,false,finite,defined,ok_conditional,Proper symmetric prior sensitivity with the same primary estimand.
cell,prior,prior_kappa_1,beta_0p5_0p5,1,primary_conservative_method_1,CP02-VHF-2020,VHF — 2020,cell_probability_primary,,0.98,,0.90161239561413,0.999979752433282,0.99999999336627,1,-13.6348602739367,1.19799614763874e-06,1,1.19799614763874e-06,0.260769262039784,1,0.0514285714285714,0.0514285714285714,0,0,18.4702354525352,,0.0514285714285714,false,finite,defined,ok_conditional,Proper symmetric prior sensitivity with the same primary estimand.
cell,prior,prior_kappa_1,beta_0p5_0p5,1,primary_conservative_method_1,CP02-PTT-2020,PTT — 2020,cell_probability_primary,,0.931818181818182,,0.798244031678316,0.994812956892098,0.999997463135851,1,-13.6348602739367,1.19799614763874e-06,1,1.19799614763874e-06,0.260769262039784,0.952380952380952,0.0518181818181818,0.0518181818181818,0,0,18.4702354525352,,0.0518181818181818,false,finite,defined,ok_conditional,Proper symmetric prior sensitivity with the same primary estimand.
cell,prior,prior_kappa_1,beta_0p5_0p5,1,primary_conservative_method_1,CP02-VHF-2021,VHF — 2021,cell_probability_primary,,0.911764705882353,,0.743078570114226,0.993171277944113,0.999928541528703,1,-13.6348602739367,1.19799614763874e-06,1,1.19799614763874e-06,0.260769262039784,0.9375,0.0617647058823529,0.0617647058823529,0,0,18.4702354525352,,0.0617647058823529,false,finite,defined,ok_conditional,Proper symmetric prior sensitivity with the same primary estimand.
cell,prior,prior_kappa_1,beta_0p5_0p5,1,primary_conservative_method_1,CP02-PTT-2021,PTT — 2021,cell_probability_primary,,0.880952380952381,,0.716146742695748,0.978627511977525,0.999932087192242,1,-13.6348602739367,1.19799614763874e-06,1,1.19799614763874e-06,0.260769262039784,0.9,0.0476190476190476,0.0476190476190476,0,0,18.4702354525352,,0.0476190476190476,false,finite,defined,ok_conditional,Proper symmetric prior sensitivity with the same primary estimand.
