row_id,source_record,source_line,clean_record,canonical_row_sha256,full_row_duplicate_group,predictor_duplicate_group,disposition,exclusion_reason
CP01-R0001,1,2,1,200e793ed85aa67c93b86683d438ea6e0bedaab2899533eb133b4294937278be,,,kept,
CP01-R0002,2,3,2,783ea96b743555bc4eb09f773a7fc827c4b998b5a29b4c5ff4f3bbc514bca05a,,,kept,
CP01-R0003,3,4,3,562e33be6938c7066c969f1dcfb1960b0e684168afa3aaad202b884d2e566a65,,,kept,
CP01-R0004,4,5,4,e2eddee0549ab128d3cd0a74d7e0878a5342e2ddfea213ab2076e3004de5e223,,,kept,
CP01-R0005,5,6,5,177a6fad743dc49bf4c4bae34df5aa414294c7b27d98c915f791674e3232f69a,,,kept,
CP01-R0006,6,7,6,62e03db3a1b5f952a9b4f11bb2383686869d82019642f3bd3a1ed622c533971b,,,kept,
CP01-R0007,7,8,7,87bae5b69479f6b90e7ac142c30f7ce9ba21e69a2678cb556fa6612b21b5780e,,,kept,
CP01-R0008,8,9,8,4d005b44d2626043fb6b6b3229a3c04b7dd6436d6fd63da4b8b80bc1ece4b099,,,kept,
CP01-R0009,9,10,9,b8449c10cc6015070b0cb37cf37254496448191ab9731dd6ebe72975567b0030,,,kept,
CP01-R0010,10,11,10,3f93f8e1b9225239f7d4825ec39c17a041d381ab88442f87023bf0dce0b353a4,,,kept,
CP01-R0011,11,12,11,a4a5b21d1c05040794438e9f2f00e973e44d5270c76d7576fbdfba02b71b39a1,,,kept,
CP01-R0012,12,13,12,99ebfd59c4453e3078fb9266b9fea6a1ae28237d1b254688c8bb59e813136f2e,,,kept,
CP01-R0013,13,14,13,74be6efd900fa38ab7d8d2bad470ad2ad64f346581db0575cb660dec7a29cb22,,,kept,
CP01-R0014,14,15,14,2a662d7ba126c9a532ec0713237fe9325e10c8b0b19873e40d81f6137e2fac2c,,,kept,
CP01-R0015,15,16,15,6965be8309aa72f4a4c47c4a075eb801c73e2654eb1f6b83e9dffc0ee65fc07d,,,kept,
CP01-R0016,16,17,16,31b6fa9f18eeeea2f4a8bbb29ca810fd90799963913a4b664be598582ecbb4a8,,,kept,
CP01-R0017,17,18,17,a35f50fd7d13e55d19838554317b78d00f3821924494f28191e84cc67fdf09d2,,,kept,
CP01-R0018,18,19,18,ed4b7432a4910371842ca0c25148aafe48ecd9335607185855091a40a74ca1d8,,,kept,
CP01-R0019,19,20,19,b4c74ece590a86a7040f3d24b75c6f6863d1bd91ccc78db47d2d60e714e8460f,,,kept,
CP01-R0020,20,21,20,c042cde3a13fb87bf283843eedd27748d50f1ba3eec7cd39ba824add64d19d11,,,kept,
CP01-R0021,21,22,21,b4fb90adf0f7db76735155a4c85ef58f62a3b247e0f1cc15750d112debc7ee07,,,kept,
CP01-R0022,22,23,22,36fe8af5bdc1b042956d202ed7702a1074451366b5eb6a64837ffa1045150f23,,,kept,
CP01-R0023,23,24,23,3311ce4e954c066220195bb370e3cafd80aea3b93d699d2757621760ef2e032f,,,kept,
CP01-R0024,24,25,24,0af76623ae8e68e898e0c5b9db3164ddead26d6f44161395c54455cd149d800f,,,kept,
CP01-R0025,25,26,25,38e55f67315c1702e64e994ec95e14122ebfda1c213224650ce686464114aa97,,,kept,
CP01-R0026,26,27,26,954b606984fbc23cd62d7e5b5d7b53e73a8527d0d2caa4c8db29366681c51861,,,kept,
CP01-R0027,27,28,27,09816d18356bf57293a4d124b7274cce46aaa56c90054d3dd76396176ae3f588,,,kept,
CP01-R0028,28,29,28,3d776f94ddec7fd0526e68167bf6cd9a770f79960271016fc2585fedbeca5161,,,kept,
CP01-R0029,29,30,29,e0dbfc2b696f2fe74c1782af94f5f305260516dc282b90a8a4f9dfcf12b72bb8,,,kept,
CP01-R0030,30,31,30,6a364cbe122c6bbe7f19389649a835a6ead6f555c396a0307d64bfdd2a6aaf1c,,,kept,
CP01-R0031,31,32,31,8cb2c1652d3610c121d9c082351a9b14efd331c162b2db1958f169bd683d9a81,,,kept,
CP01-R0032,32,33,32,788cc9d14ea7e110928b6d9404b726588f82cafd5d722e47924ca24d5a8aa39a,,,kept,
CP01-R0033,33,34,33,8c2d77560314f7bfc0a277a0da25bc600b18aa655f53653c758a0c46bb0aa94b,,,kept,
CP01-R0034,34,35,34,94f97e9bde1f7233c412f32dbca6fdb6b91dfd2c4f3879b9b5b306e74e38264f,,,kept,
CP01-R0035,35,36,35,7026b4e7688099775d5ff6ccf3893dc7ce357411ae6a3770f9faf7db2349fa19,,,kept,
CP01-R0036,36,37,36,54d7bf850fa82e55576b9b004ef95bd7d2fb4e6601dfaac771c2fd15b18ccdb9,,,kept,
CP01-R0037,37,38,37,473cc5e7763475016f5ee83d00e9cf4ea5437e90e74acce2c1b457c94c134390,,,kept,
CP01-R0038,38,39,38,d609efe350e1cd0949c6879bbd7425bcaaa16026f49e172930e91ac41d39da08,,,kept,
CP01-R0039,39,40,39,ff6bd6eeda7726b22111e6352205ad0ea728c9830c01a6f1d71969f50acbb6d1,,,kept,
CP01-R0040,40,41,40,c85d273f95f0017c2e0f1c7a87e593f30acc152535da08d6e23123ab0a751d59,,,kept,
CP01-R0041,41,42,41,8696af3a5604e0117ec4847eded36913c774096a6094ac1b017a37642b6d51b5,,,kept,
CP01-R0042,42,43,42,77904312e89e7532b344df34ac798eb055820db41ccd8cdfdc72274db7fd72db,,,kept,
CP01-R0043,43,44,43,39e1eab15e2a0c1216a02f7abe22d205edb9664a4713d05df352a2ebe919674b,,,kept,
CP01-R0044,44,45,44,9b373a2db66023600a195597876dc461f7f77cf8a142e0244b18e4b2b6371d0a,,,kept,
CP01-R0045,45,46,45,0ea3a8c77a9cb0848f690940d511b734989ca0047ae9b39903819563f058fbd8,,,kept,
CP01-R0046,46,47,46,94b5c4f558f1de7b7b0ec4dcb7bf1abc10e40205b87b17c5d609c6c2a1d056d0,,,kept,
CP01-R0047,47,48,47,3af7914c63a74821053cf9bd72eb71225ede542858c1f168ac0922afba384f31,,,kept,
CP01-R0048,48,49,48,b5b5d149c2f8df28fb82695b1f87d3e7a9fd83e4ffdb928ce6c92721ea7bf966,,,kept,
CP01-R0049,49,50,49,5bbaeaa522996437e2413f327127621e07c0e49d3228f32e0d64a150ca32a1b7,,,kept,
CP01-R0050,50,51,50,133733a0eabaee4a1fb4583bb95b8fc0360a3ddec32f9a03ab3461371cb3149c,,,kept,
CP01-R0051,51,52,51,52a03f634ca42a64bff63e7270b0d3007bdbee55feb1e268d4e39510bb56100a,,,kept,
CP01-R0052,52,53,52,dcb7d1bd5396ed7afb819788815fd86c2cffb7d888efccb3b7df1a17cd05773f,,,kept,
CP01-R0053,53,54,53,55e38e2cea9f43922c6d706bd734ff895e0338cfc87ed691ae50d41c60170b99,,,kept,
CP01-R0054,54,55,54,1c97e3e4cf8f568e9c5049ce642cfcbb7c234d110487df5f827c948ee15c6b27,,,kept,
CP01-R0055,55,56,55,00874ea6efc369922ae79d3d1d869ff5abbcd0c6aaecbff0d51ba6f092bb8264,,,kept,
CP01-R0056,56,57,56,45c6728cb683f79c70b7bbe7c965f82483087012697f5728231fa2e81de7cbb5,,,kept,
CP01-R0057,57,58,57,869bff422bee25468519b7a0c51d8e49bb2d854c0bfcc24e3fc6afcf2a1546b6,,,kept,
CP01-R0058,58,59,58,4736e35abeb9793ab388c7ecffb90d8b065c07a54dc8bbe12a4c5f17ba9ed064,,,kept,
CP01-R0059,59,60,59,9cde7d43a5914ebbd8d732cd338f0275f00ea3b1791a761df55c60fd5c3b395b,,,kept,
CP01-R0060,60,61,60,1135fd84395843e7973d681626a084806560c3eb2b0df2261906640ede14867d,,,kept,
CP01-R0061,61,62,61,6de3470a14afe866a0fc42f9bef22befec3f691599daba705d818b257eb501dd,,,kept,
CP01-R0062,62,63,62,9ca4cce2d9ec1ffe17a24b23bb52d4450ef0ee17c657a0f64fb84cf4f02b5c12,,,kept,
CP01-R0063,63,64,63,26c94b6ee2cdd61124d55583148ddeb40bbdda081da9c9716f2f62a525815291,,,kept,
CP01-R0064,64,65,64,19005fa1793b4d50f2db394e134720f8deda1dcd122f7d05b655a943f883e757,,,kept,
CP01-R0065,65,66,65,9685e3152c916769cb696b577acbb71edc58fb0b61ad0d307a6a36fb08fe53eb,,,kept,
CP01-R0066,66,67,66,c4790caf01a672db68a7cfa1b649a6c98977b6fbc26ab58cf65174807651d47e,,,kept,
CP01-R0067,67,68,67,b97c2608241aa42fa78376f96dcb1cb4300051a57ba7e69893c5692dcd0cc9d4,,,kept,
CP01-R0068,68,69,68,ac42354b2237fa224d37a53b39137e9d90be224aff964b1512e41ee47adcd2cd,,,kept,
CP01-R0069,69,70,69,356979b35d7eeb7678d07d6671933aad8abe968767793d2b03bdd741b4dc072d,,,kept,
CP01-R0070,70,71,70,d067b0e9b1ce288be4f586b4f67abc7a59a5cf8b7d63e0b11d4b72c638c68a69,,,kept,
CP01-R0071,71,72,71,cb728317db1f262b074a660b25a350d1980561742a17bd878544c07106dcc07f,,,kept,
CP01-R0072,72,73,72,4c4ea719b67456643036928163f73b3316ed6b353bbef96162b1a5ff1df47e67,,,kept,
CP01-R0073,73,74,73,fd7f012747d3ad7bb8d8b5c30abcf2b351bbe24f2c986ed7ff372153064da7ec,CP01-R0073,CP01-R0073,kept,
CP01-R0074,74,75,74,f51be48b322c7294f77864a78fa29613cf9240a368c3a59b82480d483c8065a7,,,kept,
CP01-R0075,75,76,75,8006bc3fcc7f8737f3ab8c64ce48c3222f2d8139fa758305fceadc02f2b8bea7,,,kept,
CP01-R0076,76,77,76,fdf9f860555ac5af7212a4a312005e3afea00c30a5446dc2b0e7aa8c7de8e766,,,kept,
CP01-R0077,77,78,77,8ab0c19fbcf713cf86eca953326a02c91adbd89ddb47233a948486aea90b19d5,,,kept,
CP01-R0078,78,79,78,fd7f012747d3ad7bb8d8b5c30abcf2b351bbe24f2c986ed7ff372153064da7ec,CP01-R0073,CP01-R0073,kept,
CP01-R0079,79,80,79,2dda5a58b9d3ce0fcfe18bb96780a1b5975a59a45fff57d110c223697eb7717a,,,kept,
CP01-R0080,80,81,80,f435b64b52aa53f70e87523c85deefc03a2b5fa878be685e6d6e19c8fb071d7d,,,kept,
CP01-R0081,81,82,81,fd7f012747d3ad7bb8d8b5c30abcf2b351bbe24f2c986ed7ff372153064da7ec,CP01-R0073,CP01-R0073,kept,
CP01-R0082,82,83,82,83e15100ce90d381d2572e5a282deaa20ba9f41642697ec63efc70500a7946ed,,,kept,
CP01-R0083,83,84,83,f1d298d7bbaf2a2f885228d03352623edbaae78b68282700c9f938ddca5134b5,,,kept,
CP01-R0084,84,85,84,89efe0781135c1abf1540e797cc582063ffa751073d3e405ec3cf9baf05d2bcf,CP01-R0084,CP01-R0084,kept,
CP01-R0085,85,86,85,7a9a6b88a61311cc94b961064cdc78a123c5eeea092523e8d7d16e9a00c2359c,,,kept,
CP01-R0086,86,87,86,0f0b30d3b7a50d85fdf63a307f04d2852a8ec26f9d9d6b782ab221b3ed87aef0,,,kept,
CP01-R0087,87,88,87,89efe0781135c1abf1540e797cc582063ffa751073d3e405ec3cf9baf05d2bcf,CP01-R0084,CP01-R0084,kept,
CP01-R0088,88,89,88,f06c9af2449af38d61b5075d334d62e0a0e7054bb2cf1b7ca1f1752aa9752128,,,kept,
CP01-R0089,89,90,89,89efe0781135c1abf1540e797cc582063ffa751073d3e405ec3cf9baf05d2bcf,CP01-R0084,CP01-R0084,kept,
CP01-R0090,90,91,90,91500bda40a5eb5a4dd1abc4a13d8b2ff8256f7a576c7e33ead13091ec8b5c4e,,,kept,
CP01-R0091,91,92,91,d1c9f49672be6cbfa864df43485934ed19aa081e9f3923cf66511785ef989a2a,,,kept,
CP01-R0092,92,93,92,89efe0781135c1abf1540e797cc582063ffa751073d3e405ec3cf9baf05d2bcf,CP01-R0084,CP01-R0084,kept,
CP01-R0093,93,94,93,63217302a75ed2412cab7b36232746682bfe2750fcd30814f74e08f1908aab2b,,,kept,
CP01-R0094,94,95,94,4c33fc2ad7cd020964c7df725c14eaeed8c7ae5f6303f49bffa34a055b123d1f,,,kept,
CP01-R0095,95,96,95,c7eefaba7a8ea26a95afff72c48f5d63384820c069a55c8362f201a8d2e502e3,,,kept,
CP01-R0096,96,97,96,8b2df0840b5a172a16f9880b526aa007f43d7fcb61a386b9a697f01ba10de785,CP01-R0096,CP01-R0096,kept,
CP01-R0097,97,98,97,f4ad490a5998ae3c1a9bd26d1f8c5e19313dd350627fb248b77f05615c47d479,,,kept,
CP01-R0098,98,99,98,02fbb4db34b7666b39fee09418a6d4f271acbcc6b8988b474572cda3ab5e46df,,,kept,
CP01-R0099,99,100,99,fe86014bb4eff867912042206c34fb07152ad149dc4b7e1182e1407dbe52031a,,,kept,
CP01-R0100,100,101,100,75ee848affb4cdd9af65cb8f3261fef792f24f1e015a32b2db7e1af9c3a8a400,,,kept,
CP01-R0101,101,102,101,8b2df0840b5a172a16f9880b526aa007f43d7fcb61a386b9a697f01ba10de785,CP01-R0096,CP01-R0096,kept,
CP01-R0102,102,103,102,4362e0bef589d3d12ca97d24dd80bf006dbb37e6a9ff916499be43ad1fa1fa83,,,kept,
CP01-R0103,103,104,103,ecd3083a2cba8011b5be444e63204aae6500706490fb461bddf459bf7b0cf29a,,,kept,
CP01-R0104,104,105,104,8b2df0840b5a172a16f9880b526aa007f43d7fcb61a386b9a697f01ba10de785,CP01-R0096,CP01-R0096,kept,
CP01-R0105,105,106,105,09200eacf64cb70d17ccb46b9c8d9d3ee7148b66fc90033c75bdbbd6bf9d1383,,,kept,
CP01-R0106,106,107,106,08ebe0f997661f8667cbb8d44379942e3e3b26fb8101455993f8c194f5b1d4e2,,,kept,
CP01-R0107,107,108,107,524cd7f47ba323131026942954d8c233e743e86e0423657fadf154e58e6ac1ce,CP01-R0107,CP01-R0107,kept,
CP01-R0108,108,109,108,83222c9b77a86558b7ad8f126703c7431b7ded0b479bf60d3fb3cbe2bfe89690,,,kept,
CP01-R0109,109,110,109,12b2b690998f6682d27510ecec5b3f8327d1e9d330dbe6bdfa8abc88fc5b5388,,,kept,
CP01-R0110,110,111,110,524cd7f47ba323131026942954d8c233e743e86e0423657fadf154e58e6ac1ce,CP01-R0107,CP01-R0107,kept,
CP01-R0111,111,112,111,7468eca13a9d1a5c71b37f19e6f00a93eae5738d65c7b65a0741df2d476104db,,,kept,
CP01-R0112,112,113,112,524cd7f47ba323131026942954d8c233e743e86e0423657fadf154e58e6ac1ce,CP01-R0107,CP01-R0107,kept,
CP01-R0113,113,114,113,024bbe2cc7d5ea156b91ecc9f94bdad988d31ca04eaec41915a42786dc372113,,,kept,
CP01-R0114,114,115,114,c0234019fd867dfc9e13ed58ecbcf452a9a2cd142d3cf5ca0dd17b03ca968040,,,kept,
CP01-R0115,115,116,115,68e35510f0bd477333503179c34c1716fdd74e4106e3dacde95c25997081987b,,CP01-R0107,kept,
CP01-R0116,116,117,116,cc92e9e686ed82526626d4fad3ce0507021b92d21ef83e6ea021433432df4e63,,,kept,
CP01-R0117,117,118,117,6b9f0ffacabdb11167888f5de878c3463754a207066f878f3241b953df410575,,,kept,
CP01-R0118,118,119,118,047f267c73e9f056e36fb3487a20f6d2da206f5f45fa156444f2d10c04ab927e,,,kept,
CP01-R0119,119,120,119,21075554004f335dd22a974d6032a2a6008d92761559e7a44cf4b16193d9d386,CP01-R0119,CP01-R0119,kept,
CP01-R0120,120,121,120,44ba9ff3a0216914376e25953ed6582f2c3bdfaa81d5a3b2c2acc7670c1ad1f3,,,kept,
CP01-R0121,121,122,121,59d6075e9cae24418ff912586b6b56accd55e304059cb5df5977d788d27ef369,,,kept,
CP01-R0122,122,123,122,bd7d31f9ce43685e3a64463c723a5b2c66523d13bf8dcd1c9a2e7f1516df9a46,,,kept,
CP01-R0123,123,124,123,645e9ad4f7e2af718ed6c377343a260b34f8acd3f7983f5ab2424a20d959732b,,,kept,
CP01-R0124,124,125,124,21075554004f335dd22a974d6032a2a6008d92761559e7a44cf4b16193d9d386,CP01-R0119,CP01-R0119,kept,
CP01-R0125,125,126,125,4470457ac51c9f3710f4d49c5bb83b834aa81448b3f6609c4e4a8dbd483931e6,,,kept,
CP01-R0126,126,127,126,44d809a5009ebce10a9093d6f7b498bf82256236ed104a494204d6296058974a,,,kept,
CP01-R0127,127,128,127,21075554004f335dd22a974d6032a2a6008d92761559e7a44cf4b16193d9d386,CP01-R0119,CP01-R0119,kept,
CP01-R0128,128,129,128,f680960dcdf657b27357908968ae665cc0b0d6404651dfe1968be31426e0fe36,,,kept,
CP01-R0129,129,130,129,9364aa9f697edcbc4f0fb2f9341bd099179307ed2f907dd859387e4d8a9e3dbe,,,kept,
CP01-R0130,130,131,130,bd2d76bf916aa7e98c3863ff8551ae74d005544344d1db992d2260fd8d48d1e3,CP01-R0130,CP01-R0130,kept,
CP01-R0131,131,132,131,6f6db332768457c6c8bb20b4081113ea3a7c8a410ed57ca27334b1eb0c519a62,,,kept,
CP01-R0132,132,133,132,22e90c00cb2b6af871841e71a80d2fd88da1b8a817faf81b7f0632d3e4f330cf,,,kept,
CP01-R0133,133,134,133,bd2d76bf916aa7e98c3863ff8551ae74d005544344d1db992d2260fd8d48d1e3,CP01-R0130,CP01-R0130,kept,
CP01-R0134,134,135,134,7a417d2a19beb81163af8c54bc1c581e5a603311045c0856d9d32f9b728ae977,,,kept,
CP01-R0135,135,136,135,bd2d76bf916aa7e98c3863ff8551ae74d005544344d1db992d2260fd8d48d1e3,CP01-R0130,CP01-R0130,kept,
CP01-R0136,136,137,136,b7bcde513d1280ef5e54d0c7740f192f4b85124e6b4324f9e365c1202f416049,,,kept,
CP01-R0137,137,138,137,23b795c3d5b8893c8f78ab39d3633a4e3cd09f07ad7cee8bf221775bf7dfb0c8,,,kept,
CP01-R0138,138,139,138,bd2d76bf916aa7e98c3863ff8551ae74d005544344d1db992d2260fd8d48d1e3,CP01-R0130,CP01-R0130,kept,
CP01-R0139,139,140,139,0073de940985ce3f422cd3b0a38213a7b1b20de57b8a342af22ed2043a5f943b,,,kept,
CP01-R0140,140,141,140,eb96c82c2fc5ee731bf1cfe1e5380c89b07d7a8a74fd7b3208fa6c9c64d6ace5,,,kept,
CP01-R0141,141,142,141,b484f0b7f36dcaac7a47aa172ccb1db2f85eabcc2d4e76648a1600c4727d0992,,,kept,
CP01-R0142,142,143,142,a79169da8b549bb7dc3d56cb3ea77f86efdeb9c236315428a42fd894cc8f83da,CP01-R0142,CP01-R0142,kept,
CP01-R0143,143,144,143,abd5c9ec4132e5d14f038189d5f52ff4b2e2317471a2252623d15973743d3142,,,kept,
CP01-R0144,144,145,144,4500a324dbecc4fe2fc404c204ce08f8fc2bacd57be2d6ce8fbc58fc05b6987a,,,kept,
CP01-R0145,145,146,145,5575551f87a971d5b910c183121bafd3926049af56febe5f06912bece236f1f8,,,kept,
