relative_path,role,bytes,sha256
MathJax/input/tex/extensions/boldsymbol.js,frozen-runtime,4709,716cf8735d00abfb1627f8adbbf4aeb915ac9b5c55d47aeaf276e73dac6a2aa1
MathJax/tex-svg.js,frozen-runtime,1704911,dba9c7e8646389650c445e0547023942bed229b3fdb9513b1c6c01237af0b81a
index.html,component-index,2049,a31a62179787436eb2afd2ce5dff0ab0f0afddd9ef5b6f5243e3a72bf6537d43
licenses/MathJax-3.1.2-LICENSE.txt,runtime-license,11358,cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30
licenses/index.html,rights-and-attribution,2553,d9b8cab6fe291267eb06c3d1955c615e3471d72cf305a370eaaeb8e45e6577ed
random/Basic.js,frozen-first-party-asset,935,006372877a2b384e20c3e1a364ddde4791890ad02020f654c22372206891b00b
random/Screen.css,frozen-first-party-asset,5433,589035811781debb33e3aa90ca0f376532b8ade30d54fad5c56838bec5c8d707
random/icons/DieBlue5.svg,original-build-only-css-fallback,241,39b3352e94492ccda27718a6825dd2204aa44ccc8835493ff720f32a251fb227
random/icons/DieGreen5.svg,original-build-only-css-fallback,234,dd4f8036d4b79c897687ad56d97f6efa93d91d97d01b91520a131133e50aa871
random/icons/DieRed5.svg,original-build-only-css-fallback,234,fbd8bcb94e0b9f0fec6252c4c15a8452129654e38d8cd36c19bcac7a5977c5b4
random/icons/Icon.svg,frozen-first-party-asset,373,09ccb2c9f9c50cd4d7a1c867fa112534afa56a12ef0f8a96a0d682ec6b8a9d8b
random/icons/Minus.svg,frozen-first-party-asset,223,a55a72ce346d0fe73318fecfa994c7fda8766694a448c3b968122df7a916d7fc
random/icons/Plus.svg,frozen-first-party-asset,291,1bd78cdc7997d6237bc809cef5f36e074c551ec3224b226c38735be898bc439a
random/icons/Reset.svg,original-build-only-css-fallback,236,2aaf8f879620fa90a86869e61cd318475951cf0d5a757c32f3b1583d47180897
random/icons/Run.svg,original-build-only-css-fallback,234,068e17455bae5b61e32e10fc01838824dc03f7f9d36acad2f3137366d72aa443
random/icons/Step.svg,original-build-only-css-fallback,233,4ae374122a910eafadaaef6fcad4f02dd340c778e4d9324f57dc9613cd0eb0c0
random/icons/Stop.svg,original-build-only-css-fallback,234,f9cd477861b303a2c13c470a38f409df6340bbf249ac86d4173f8a3386b3b005
random/point/Sufficient.html,derived-reader-page,63774,edf4a074c02327e08ba2d610dd02f77092ecdc54e034bfcfec4016c37491ae7c
