cell_id,source_record,cell_order,transmitter,year,nests_initiated,hens_available_primary,hens_available_secondary
CP02-VHF-2015,1,1,VHF,2015,15,15,15
CP02-VHF-2016,2,2,VHF,2016,32,32,32
CP02-VHF-2017,3,3,VHF,2017,19,19,22
CP02-VHF-2018,4,4,VHF,2018,25,25,27
CP02-VHF-2019,5,5,VHF,2019,24,26,31
CP02-PTT-2019,9,6,PTT,2019,17,18,20
CP02-VHF-2020,6,7,VHF,2020,24,24,26
CP02-PTT-2020,10,8,PTT,2020,20,21,23
CP02-VHF-2021,7,9,VHF,2021,15,16,21
CP02-PTT-2021,11,10,PTT,2021,18,20,20
CP02-VHF-2022,8,11,VHF,2022,12,12,16
CP02-PTT-2022,12,12,PTT,2022,24,24,24
