row_id,source_record,source_line,fitted_mpa,residual_mpa,leverage,internal_standardized_residual,deleted_studentized_residual,deleted_residual_mpa,cook_distance,leverage_screen_2p_over_n,cook_screen_4_over_n,screen_union
CP01-R0001,1,2,53.46346329,26.52653671,0.01367349,2.56845916,2.57553517,26.89427537,0.01016159,false,true,true
CP01-R0002,2,3,53.73475651,8.15524349,0.01289670,0.78932907,0.78918325,8.26179336,0.00090446,false,false,false
CP01-R0003,3,4,56.81258504,-16.54258504,0.01701091,-1.60446959,-1.60570924,-16.82885921,0.00494993,false,true,true
CP01-R0004,4,5,67.66368153,-26.61368153,0.02871622,-2.59677519,-2.60411695,-27.40052105,0.02215172,true,true,true
CP01-R0005,5,6,60.91205585,-16.61205585,0.03056990,-1.62243608,-1.62373583,-17.13589849,0.00922296,true,true,true
CP01-R0006,6,7,26.85991563,20.17008437,0.00694433,1.94636095,1.94902675,20.31113165,0.00294348,false,false,false
CP01-R0007,7,8,68.42076149,-24.72076149,0.02869396,-2.41204977,-2.41776670,-25.45105291,0.01909697,true,true,true
CP01-R0008,8,9,29.92792448,6.52207552,0.01036458,0.63045003,0.63026391,6.59038205,0.00046253,false,false,false
CP01-R0009,9,10,19.77814740,26.07185260,0.00801744,2.51722676,2.52383751,26.28257166,0.00569029,false,true,true
CP01-R0010,10,11,31.44208441,7.84791559,0.01500301,0.76039515,0.76023797,7.96745131,0.00097854,false,false,false
CP01-R0011,11,12,30.07209741,7.99790259,0.00451316,0.77083391,0.77068062,8.03416208,0.00029931,false,false,false
CP01-R0012,12,13,22.99032918,5.02967082,0.00413609,0.48466541,0.48448374,5.05056039,0.00010840,false,false,false
CP01-R0013,13,14,58.32674497,-15.31674497,0.01842641,-1.48664582,-1.48752847,-15.60427569,0.00460989,true,true,true
CP01-R0014,14,15,25.64858768,16.68141232,0.00774228,1.61036023,1.61161942,16.81157214,0.00224827,false,false,false
CP01-R0015,15,16,20.38381137,27.42618863,0.00863337,2.64880981,2.65665618,27.66503115,0.00678899,false,true,true
CP01-R0016,16,17,28.67690755,24.23309245,0.01009970,2.34215470,2.34732184,24.48033660,0.00621879,false,true,true
CP01-R0017,17,18,31.86648277,7.49351723,0.01312217,0.72536480,0.72519638,7.59315593,0.00077734,false,false,false
CP01-R0018,18,19,59.48231235,-3.34231235,0.02766775,-0.32594337,-0.32580066,-3.43741798,0.00033589,true,false,true
CP01-R0019,19,20,37.00969271,3.55030729,0.00909296,0.34296670,0.34281845,3.58288632,0.00011993,false,false,false
CP01-R0020,20,21,48.80383879,-6.18383879,0.01472612,-0.59907630,-0.59888812,-6.27626381,0.00059601,false,false,false
CP01-R0021,21,22,48.04675882,-6.20675882,0.01239619,-0.60058704,-0.60039892,-6.28466472,0.00050305,false,false,false
CP01-R0022,22,23,24.78471453,3.45528547,0.01230979,0.33433052,0.33418505,3.49834942,0.00015479,false,false,false
CP01-R0023,23,24,21.92916283,-13.86916283,0.01257461,-1.34214849,-1.34267603,-14.04578305,0.00254888,false,false,false
CP01-R0024,24,25,42.14646891,2.06353109,0.01802736,0.20024597,0.20015181,2.10141403,0.00008179,true,false,true
CP01-R0025,25,26,60.08797633,-7.56797633,0.02865917,-0.73840802,-0.73824348,-7.79126761,0.00178748,true,false,true
CP01-R0026,26,27,49.23687984,4.06312016,0.01759031,0.39419927,0.39403616,4.13587142,0.00030915,true,false,true
CP01-R0027,27,28,57.56966500,-16.41966500,0.01726529,-1.59275365,-1.59395494,-16.70813589,0.00495213,false,true,true
CP01-R0028,28,29,38.35122972,13.76877028,0.01021645,1.33084508,1.33134844,13.91089015,0.00203129,false,false,false
CP01-R0029,29,30,30.68500444,6.74499556,0.01223043,0.65261389,0.65243031,6.82851118,0.00058594,false,false,false
CP01-R0030,30,31,29.04342098,9.55657902,0.01603076,0.92643330,0.92636895,9.71227411,0.00155367,false,false,false
CP01-R0031,31,32,58.87664838,-3.61664838,0.02725663,-0.35262217,-0.35247091,-3.71798822,0.00038712,true,false,true
CP01-R0032,32,33,58.27098441,-5.36098441,0.02742582,-0.52273989,-0.52255376,-5.51215991,0.00085618,true,false,true
CP01-R0033,33,34,40.35208356,1.36791644,0.00878646,0.13212300,0.13205941,1.38004213,0.00001719,false,false,false
CP01-R0034,34,35,59.08382494,-16.95382494,0.02049424,-1.64727711,-1.64866250,-17.30855057,0.00630835,true,true,true
CP01-R0035,35,36,57.05965646,-3.36965646,0.02950511,-0.32892090,-0.32877720,-3.47210118,0.00036546,true,false,true
