model_id,predictor_profile_id,profile_size,row_id,source_record,source_line,training_rank,predicted_mpa,residual_mpa,absolute_difference_from_rowwise_loo_mpa
FULL_ADDITIVE_RAW,CP01-PROFILE-R0001,1,CP01-R0001,1,2,9,53.09572463,26.89427537,0.00000000
FULL_ADDITIVE_RAW,CP01-PROFILE-R0002,1,CP01-R0002,2,3,9,53.62820664,8.26179336,0.00000000
FULL_ADDITIVE_RAW,CP01-PROFILE-R0003,1,CP01-R0003,3,4,9,57.09885921,-16.82885921,0.00000000
FULL_ADDITIVE_RAW,CP01-PROFILE-R0004,1,CP01-R0004,4,5,9,68.45052105,-27.40052105,0.00000000
FULL_ADDITIVE_RAW,CP01-PROFILE-R0005,1,CP01-R0005,5,6,9,61.43589849,-17.13589849,0.00000000
FULL_ADDITIVE_RAW,CP01-PROFILE-R0006,1,CP01-R0006,6,7,9,26.71886835,20.31113165,0.00000000
FULL_ADDITIVE_RAW,CP01-PROFILE-R0007,1,CP01-R0007,7,8,9,69.15105291,-25.45105291,0.00000000
FULL_ADDITIVE_RAW,CP01-PROFILE-R0008,1,CP01-R0008,8,9,9,29.85961795,6.59038205,0.00000000
FULL_ADDITIVE_RAW,CP01-PROFILE-R0009,1,CP01-R0009,9,10,9,19.56742834,26.28257166,0.00000000
FULL_ADDITIVE_RAW,CP01-PROFILE-R0010,1,CP01-R0010,10,11,9,31.32254869,7.96745131,0.00000000
FULL_ADDITIVE_RAW,CP01-PROFILE-R0011,1,CP01-R0011,11,12,9,30.03583792,8.03416208,0.00000000
FULL_ADDITIVE_RAW,CP01-PROFILE-R0012,1,CP01-R0012,12,13,9,22.96943961,5.05056039,0.00000000
FULL_ADDITIVE_RAW,CP01-PROFILE-R0013,1,CP01-R0013,13,14,9,58.61427569,-15.60427569,0.00000000
FULL_ADDITIVE_RAW,CP01-PROFILE-R0014,1,CP01-R0014,14,15,9,25.51842786,16.81157214,0.00000000
FULL_ADDITIVE_RAW,CP01-PROFILE-R0015,1,CP01-R0015,15,16,9,20.14496885,27.66503115,0.00000000
