segment_id,document_id,component_id,section_id,source_sha256,source_text,target_text,status
O006-PSU-011-S0177,O006-PSU-011,Lesson10,power-functions,3b4c34d17dcf90ab8d7f863b4235c48b8c1e43c07ffc217c399ffa0ad9a6071f, Power Functions, Fungsi Kuasa,translated
O006-PSU-011-S0178,O006-PSU-011,Lesson10,power-functions,48d25a002ace4837bf6e25d11113d9291644f2c96a5b416e342444795faf3a77,Let’s take a look at another example that involves calculating the power of a hypothesis test.,Mari kita lihat contoh lain yang melibatkan penghitungan kuasa uji hipotesis.,translated
O006-PSU-011-S0179,O006-PSU-011,Lesson10,power-functions,cd7e09de34efa6dc54532d84401315ce0f61cb803d9049992e12400db3c22396,Example 10.6,Contoh 10.6,translated
O006-PSU-011-S0180,O006-PSU-011,Lesson10,power-functions,c99daa81da9a1194c3f4d33c7020a3736d3fa7de6904b5d7f1bd07ecffaf45cb, Let , Misalkan ,translated
O006-PSU-011-S0181,O006-PSU-011,Lesson10,power-functions,9a9a55599f86cbc51bf5e30241fe5b0791f389c621e1fa27f25a9cbaa4f6448b," denote the IQ of a randomly selected adult American. Assume, a bit unrealistically, that "," menyatakan IQ seorang warga Amerika dewasa yang dipilih secara acak. Anggaplah, meskipun agak tidak realistis, bahwa ",translated
O006-PSU-011-S0182,O006-PSU-011,Lesson10,power-functions,ee7b864bc17caba2df1e466d7d55c474d0a27e6e89a84dd7221482d1b5014193, is normally distributed with unknown mean , berdistribusi Normal dengan rataan yang tidak diketahui ,translated
O006-PSU-011-S0183,O006-PSU-011,Lesson10,power-functions,a2b49be777a2bf5d92785b7442e605dec448d1ac49b6d13bc6b873fdbcefe529, and standard deviation 16. Take a random sample of , dan simpangan baku 16. Ambil sampel acak sebanyak ,translated
O006-PSU-011-S0184,O006-PSU-011,Lesson10,power-functions,50295d67a6f19cecba31c52731527e2b74a56ef9a48fd3fabedec601b174590b," students, so that, after setting the probability of committing a Type I error at "," mahasiswa; namun, mahasiswa bukan dengan sendirinya kerangka sampel acak bagi populasi warga Amerika dewasa. Dengan keterbatasan itu, setelah menetapkan peluang melakukan galat tipe I sebesar ",translated
O006-PSU-011-S0185,O006-PSU-011,Lesson10,power-functions,91a4a2ab2bebb9bbefad494ce74776ef8e87dc573baf4d4514e0f7cc7a0c0e3e,", we can test the null hypothesis ",", kita dapat menguji hipotesis nol ",translated
O006-PSU-011-S0186,O006-PSU-011,Lesson10,power-functions,9fc058d33411fe0cf3b8d653abba53966d19222781be9fcd6ea257288f5704e9, against the alternative hypothesis that , terhadap hipotesis alternatif bahwa ,translated
O006-PSU-011-S0187,O006-PSU-011,Lesson10,power-functions,9e9c78bc90fced92cb6ead217c70ee6dbb15cf7026dc937b86c85cb1e4ba00db,What is the power of the hypothesis test if the true population mean was ,Berapakah kuasa uji hipotesis jika rataan populasi yang sebenarnya adalah ,translated
O006-PSU-011-S0188,O006-PSU-011,Lesson10,solution-7,22927695994eab589c7601a6b15df4d9dc67c5aceb9a74cdb965444b9b8362a6,Solution,Solusi,translated
O006-PSU-011-S0189,O006-PSU-011,Lesson10,solution-7,8a485ee31948da620a044663fa8f033b019ac1eaeadb61fe17175977cd897090,Setting ,Dengan menetapkan ,translated
O006-PSU-011-S0190,O006-PSU-011,Lesson10,solution-7,d156b8ac23cf9fd199a4d46e4f1988c38d3190436481f04f3489bd5c710319a1,", the probability of committing a Type I error, to 0.05, implies that we should reject the null hypothesis when the test statistics ",", yaitu peluang melakukan galat tipe I, sebesar 0,05, berarti bahwa kita harus menolak hipotesis nol ketika statistik uji ",translated
O006-PSU-011-S0191,O006-PSU-011,Lesson10,solution-7,0e560013878a4f25f6c02ea820f5df8eafa99ddbfbf8744d533e584734f1f841,", or equivalently, when the observed sample mean is 106.58 or greater:",", atau secara ekuivalen, ketika rataan sampel teramati sebesar 106,58 atau lebih:",translated
O006-PSU-011-S0192,O006-PSU-011,Lesson10,solution-7,e89d584efe794a02f3b51341a4ff8a7cde9957b4331b2c80bbfe8260c26a81d8,"
Fig 10.6
","
Gbr. 10.6
",translated
O006-PSU-011-S0193,O006-PSU-011,Lesson10,solution-7,3f1d7d6911861a32d5af942e4ac19d9c84bd08414320390dbc71f7822614b2b8,because we transform the test statistic ,karena kita mentransformasikan statistik uji ,translated
O006-PSU-011-S0194,O006-PSU-011,Lesson10,solution-7,ce504eb6e00c06e451039b4053fb9e0b64f726b344c97ad8df0a6a75fca6d41f, to the sample mean by way of: , ke rataan sampel melalui: ,translated
