candidate_id,en_US,id_ID,category,glossary_status,existing_term_id,source_anchor,decision
O006-L01-CAND-0001,"mathematical statistics","statistika matematis","course term","existing exact","O006-TERM-0001","page title","Retain the established field term."
O006-L01-CAND-0002,"order statistics","statistik urutan","core term","primary-field-evidence override","O006-TERM-0030 (stale for PSU)","title; #overview; #the-basics; #probability-density-functions; #summary","Controlling Penn State-component term, supported by the 2025 Jurnal Matematika Integratif article DOI 10.24198/jmi.v21.n1.63667.123-130 and already used by the current PSU reader; statistik terurut remains a legacy alias in the separate Random edition."
O006-L01-CAND-0003,"order statistic","statistik urutan","core term","singular of primary term","O006-TERM-0030 (stale for PSU)","#the-basics; #probability-density-functions","The Indonesian head noun does not change between singular and plural."
O006-L01-CAND-0004,"observed order statistics","statistik urutan yang teramati","core term","new compound","","#exm-rats","Use for realized lowercase values y_i, distinct from random variables Y_i."
O006-L01-CAND-0005,"order of the data","urutan data","core term","new candidate","","#overview; #summary","Use for the arrangement itself, not as a synonym for order statistics."
O006-L01-CAND-0006,"rank","peringkat","core term","new candidate","","#summary","Refers to position in the ordered sample."
O006-L01-CAND-0007,"r-th order statistic","statistik urutan ke-r","core term","compound from primary term","","#objectives; #the-basics; #probability-density-functions","Place ke- before the rank symbol in Indonesian prose; avoid a literal English ordinal suffix."
O006-L01-CAND-0008,"i-th smallest value","nilai terkecil ke-i","core term","new compound","","#summary","Use for the interpretation of Y_i."
O006-L01-CAND-0009,"smallest observation","pengamatan terkecil","core term","new candidate","","#the-basics; #summary","Also usable for the sample minimum when no new symbol is introduced."
O006-L01-CAND-0010,"second smallest observation","pengamatan terkecil kedua","core term","new compound","","#the-basics","Natural Indonesian ordering."
O006-L01-CAND-0011,"next-to-largest observation","pengamatan terbesar kedua","core term","new compound","","#the-basics; #exm-orderstats","Do not translate literally as 'berikutnya menuju terbesar'."
O006-L01-CAND-0012,"largest observation","pengamatan terbesar","core term","new candidate","","#overview; #the-basics; #summary","Also usable for the sample maximum."
O006-L01-CAND-0013,"third largest value","nilai terbesar ketiga","core term","new compound","","#overview","Preserve the distinction from third smallest."
O006-L01-CAND-0014,"percentile","persentil","core term","new candidate","","#overview","Render 80th percentile as persentil ke-80."
O006-L01-CAND-0015,"in increasing numerical order","dalam urutan numerik menaik","core phrase","new candidate","","#exm-rats","Preferred over a literal 'urutan meningkat'."
O006-L01-CAND-0016,"random variable","peubah acak","probability term","existing exact","O006-TERM-0005","#overview; #the-basics; #probability-density-functions","Retain the glossary's peubah, not variabel."
O006-L01-CAND-0017,"random sample","sampel acak","sampling term","existing exact","O006-TERM-0006","#overview; #the-basics; #summary","Established term."
O006-L01-CAND-0018,"simple random sample","sampel acak sederhana","sampling term","new compound","O006-TERM-0006","#summary","Expand simple explicitly."
O006-L01-CAND-0019,"sample size","ukuran sampel","sampling term","new candidate","","#the-basics; #summary","Standard Indonesian statistical usage."
O006-L01-CAND-0020,"observation","pengamatan","sampling term","new candidate","","#the-basics; #probability-density-functions; #summary","Use pengamatan for X_i as a sampled quantity."
O006-L01-CAND-0021,"observed value","nilai pengamatan","sampling term","new compound","","#exm-orderstats","Use for realized lowercase x_i."
O006-L01-CAND-0022,"independent observations","pengamatan yang saling bebas","probability term","compound from existing","O006-TERM-0008","#the-basics; #probability-density-functions","Independence is bebas, not merely terpisah."
O006-L01-CAND-0023,"mutually independent trials","percobaan yang saling bebas","probability term","compound from existing","O006-TERM-0008","#solution-1; #solution-2; #proof","Retain the probabilistic meaning of independence."
O006-L01-CAND-0024,"continuous distribution","distribusi kontinu","distribution term","established in Lesson00","","#the-basics; #probability-density-functions","Match Lesson00."
O006-L01-CAND-0025,"tie (equal observations)","nilai sama (tie)","sampling term","new candidate","","#exm-rats","Introduce the English parenthetical once because tie is common in rank-based methods; thereafter use nilai sama."
O006-L01-CAND-0026,"probability zero","peluang nol","probability term","compound from existing","O006-TERM-0002","#exm-rats","Use rather than 'probabilitas zero'."
O006-L01-CAND-0027,"distribution theory","teori distribusi","distribution term","new candidate","","#exm-rats","Standard compound."
O006-L01-CAND-0028,"probability","peluang","probability term","existing exact","O006-TERM-0002","throughout","Established term."
O006-L01-CAND-0029,"event","kejadian","probability term","existing exact","O006-TERM-0003","#solution-1; #solution-2; #proof","Established term."
O006-L01-CAND-0030,"probability density function","fungsi kepadatan peluang (PDF)","distribution term","existing exact","O006-TERM-0011","#overview; #objectives; #the-basics; #probability-density-functions; #summary","Expand on first use and retain PDF; normalize source p.d.f. typography to PDF in prose."
O006-L01-CAND-0031,"density function","fungsi kepadatan","distribution term","short form of existing","O006-TERM-0011","#exm-orderstats","Use only after the full term is established."
O006-L01-CAND-0032,"cumulative distribution function","fungsi distribusi kumulatif (CDF)","distribution term","existing exact","O006-TERM-0012","#objectives; #exm-orderstats; #probability-density-functions; #summary","Expand on first use and retain CDF."
O006-L01-CAND-0033,"distribution function","fungsi distribusi","distribution term","short form of existing","O006-TERM-0012","#the-basics; #exm-orderstats","The source uses this as a shortened reference to the CDF."
O006-L01-CAND-0034,"distribution function technique","metode fungsi distribusi","distribution term","new compound","","#the-basics","Natural method name; avoid 'teknik distribusi fungsi'."
O006-L01-CAND-0035,"support","himpunan dukungan","distribution term","existing exact","O006-TERM-0009","#probability-density-functions","Use when referring to the set on which the density is supported."
O006-L01-CAND-0036,"support interval","selang dukungan","distribution term","compound from existing","O006-TERM-0009","#probability-density-functions","The source support is the interval a<y<b."
O006-L01-CAND-0037,"probability mass function","fungsi massa peluang (PMF)","distribution term","existing exact","O006-TERM-0010","#proof","Expand on first use and retain PMF."
O006-L01-CAND-0038,"binomial probability calculation","perhitungan peluang binomial","distribution term","new candidate","","#solution-1","Concise natural phrase."
O006-L01-CAND-0039,"binomial random variable","peubah acak binomial","distribution term","compound from existing","O006-TERM-0005","#solution-1; #solution-2; #proof","Capitalize Binomial only when matching a named-display style; lower-case in running prose is preferred."
O006-L01-CAND-0040,"binomial distribution","distribusi binomial","distribution term","established in Lesson00","","#summary","Match Lesson00."
O006-L01-CAND-0041,"parameter","parameter","statistical term","new candidate","","#solution-1; #solution-2; #proof","Established loanword."
O006-L01-CAND-0042,"trial","percobaan","probability term","new candidate","","#solution-1; #solution-2; #proof","Use for Bernoulli/binomial trials."
O006-L01-CAND-0043,"success (binomial trial)","keberhasilan","probability term","new candidate","","#solution-1; #solution-2; #proof","Quotation marks may be retained when the event is merely designated a success."
O006-L01-CAND-0044,"number of successes","banyaknya keberhasilan","probability term","new compound","","#solution-1; #solution-2; #proof","Use banyaknya for a count."
O006-L01-CAND-0045,"probability of success","peluang keberhasilan","probability term","compound from existing","O006-TERM-0002","#solution-2; #proof","Established binomial phrase."
O006-L01-CAND-0046,"at least","sekurang-kurangnya","quantifier","new candidate","","#solution-1; #proof","Use consistently for five or more / r or more."
O006-L01-CAND-0047,"summation notation","notasi penjumlahan","calculus term","new candidate","","#proof","Standard mathematical phrase."
O006-L01-CAND-0048,"binomial coefficient","koefisien binomial","combinatorics term","new candidate","","#solution-1; #proof","Applies to n choose k."
O006-L01-CAND-0049,"factorial","faktorial","combinatorics term","new candidate","","#exm-orderstats; #proof","Established loanword."
O006-L01-CAND-0050,"derivative","turunan","calculus term","new candidate","","#the-basics; #exm-orderstats; #proof","Use mengambil turunan for the operation."
