segment_id,document_id,component_id,section_id,source_sha256,source_text,target_text,status
O006-PSU-012-S0287,O006-PSU-012,Lesson11,credible-intervals,5b85d60b9c9aa61166bbeb7dc50a03df0af97eaef89617983ea9dd39ac72497b, Credible Intervals, Selang Kredibel,translated
O006-PSU-012-S0288,O006-PSU-012,Lesson11,credible-intervals,c965df7cfa77da52c6bed15810f7ee74518e491a2fc9a3f80d7a9bd6802f0d16,"Previously, when we assumed the known parameter was a constant, we found a point estimate or point estimator for ","Sebelumnya, ketika kita mengasumsikan bahwa parameter yang diketahui adalah suatu konstanta, kita memperoleh nilai dugaan titik atau penduga titik untuk ",translated
O006-PSU-012-S0289,O006-PSU-012,Lesson11,credible-intervals,1199f3d4958657468d2e27c0585de88c6a169dac05ff8352a2eccdc43c70a448,. We have done something similar in the Bayesian setting this section by find the value that minimizes the squared error loss function or by minimizing the absolute value of the error.,. Kita telah melakukan hal serupa dalam kerangka Bayesian pada bagian ini dengan mencari nilai yang meminimumkan fungsi kerugian galat kuadrat atau dengan meminimumkan nilai absolut galat.,translated
O006-PSU-012-S0290,O006-PSU-012,Lesson11,credible-intervals,a6875769c6b6379be6c638e49eaa6c235af9e6c688959669b1326c49e689dad8,"However, in the frequentist setting, we did not stop at a point estimate. We constructed (using our probability tools) confidence intervals for the unknown parameter. Can we do something similar here with the Bayesian estimate?","Namun, dalam kerangka frekuentis, kita tidak berhenti pada nilai dugaan titik. Dengan menggunakan perangkat peluang, kita menyusun selang kepercayaan untuk parameter yang tidak diketahui. Dapatkah kita melakukan hal serupa di sini dengan dugaan Bayes?",translated
O006-PSU-012-S0291,O006-PSU-012,Lesson11,credible-intervals,e7fd32268ec0310cbfc5a5f84f3ca6cd339e14ddec148327c6a9106e5571877c,The answer is yes. We can find what is called a ,Jawabannya ya. Kita dapat memperoleh apa yang disebut ,translated
O006-PSU-012-S0292,O006-PSU-012,Lesson11,credible-intervals,9fd888b6cc4bef536edc8fa54e447f5532e2e6a7e17651366981b87b427da723,credible interval,selang kredibel,translated
O006-PSU-012-S0293,O006-PSU-012,Lesson11,credible-intervals,53d8f1e32b78f61d7045e8dcecbebd5dcfffbe83f26bc1fe829b600a771766c5,. We can construct the credible interval by finding two value of ,. Kita dapat menyusun selang kredibel dengan mencari dua nilai dari ,translated
O006-PSU-012-S0294,O006-PSU-012,Lesson11,credible-intervals,9f94dc23a28f68a74c47a2cfa4ccea974e3b0ee8d7fc8713e9c81db3c97126e8,", say ",", misalkan ",translated
O006-PSU-012-S0295,O006-PSU-012,Lesson11,credible-intervals,e3ee915a8e8c7aa02d2fced443314522b20824abd2535d5959c41dc8ab8a09e4, and , dan ,translated
O006-PSU-012-S0296,O006-PSU-012,Lesson11,credible-intervals,71cfc07d1fc80cb0d8a5ba090791c100c3759f20d6c58f25d9e4982a9c96fabb, such that:, sedemikian sehingga:,translated
O006-PSU-012-S0297,O006-PSU-012,Lesson11,credible-intervals,2a8cbd075a36c54e845e09e26de107837aee337843deb58d43e35b16d7f00c7e,where ,dengan ,translated
O006-PSU-012-S0298,O006-PSU-012,Lesson11,credible-intervals,b1f2b3703d677f5b492980860fe909db539d72b6903731969bd187052ff52b67," is small, say "," kecil, misalnya ",translated
O006-PSU-012-S0299,O006-PSU-012,Lesson11,credible-intervals,f30fde803231576743f8894c919872f0586b426bf70b7f69a36664ffcbc5199f,. The resulting interval from ,. Selang yang dihasilkan dari ,translated
O006-PSU-012-S0300,O006-PSU-012,Lesson11,credible-intervals,87721689ee42f4415e4afe0d0f0a84d4cd837dd0c66635bd0734127ee0e0b5b7, to , hingga ,translated
O006-PSU-012-S0301,O006-PSU-012,Lesson11,credible-intervals,d9748b17e7b7ff7596854bfad3c1c7a82818813b1e4bcc890937c3b13ca0bed8, could be an interval estimate for , dapat menjadi nilai dugaan selang untuk ,translated
O006-PSU-012-S0302,O006-PSU-012,Lesson11,credible-intervals,47bf71c13a807de93e02fefbad2aaf56b81698e5b869f07219838ca9e0ab3e3f, such that the posterior probability of , sehingga peluang posterior bahwa ,translated
O006-PSU-012-S0303,O006-PSU-012,Lesson11,credible-intervals,3ca7c78c6d119ba2a710a66b6076915140440393a659ecde44f2b843d576eeb9, being in that interval is , berada dalam selang tersebut adalah ,translated
O006-PSU-012-S0304,O006-PSU-012,Lesson11,credible-intervals,9bbeb9cb3b6f9b800bf62e3eaee33795d51a485b6f8e9e88c54aa56a668c167a,"It is common for the interval to have equal probability on each tail. Therefore, the interval should be set up such that: ","Peluang pada setiap ekor lazimnya dibuat sama. Oleh karena itu, selang harus disusun sedemikian sehingga: ",translated
O006-PSU-012-S0305,O006-PSU-012,Lesson11,credible-intervals,23c05c3eff9e60c6aaffb936455daec727caf142f3069407c8a12cc5f1241dd8,Example 11.7,Contoh 11.7,translated
O006-PSU-012-S0306,O006-PSU-012,Lesson11,credible-intervals,51aa4886d3b5e4d8c24c2d6df4fb1611557873e8be6529f440e1ccfadfcf500c," Consider the previous example where we have one observation, "," Perhatikan contoh sebelumnya, ketika kita memiliki satu pengamatan, ",translated
O006-PSU-012-S0307,O006-PSU-012,Lesson11,credible-intervals,99e205e4f7b6da846f19bf9d07c99b01589a39324e4ce47d72b207f709372840,", from a distribution with pdf ",", dari suatu distribusi dengan PDF ",translated
O006-PSU-012-S0308,O006-PSU-012,Lesson11,credible-intervals,ccb2f8fb3cff62792429cade2a71f2a237c36549ad99bb5d30f328d9a5dfdee3, for , untuk ,translated
O006-PSU-012-S0309,O006-PSU-012,Lesson11,credible-intervals,4a1c6c33741cd8dd3f42932fc4b0a25fb9417a95e375a43d64b88678e2cf2e1d, and a unknown parameter , dan sebuah parameter tak diketahui ,translated
O006-PSU-012-S0310,O006-PSU-012,Lesson11,credible-intervals,06482eba1d927385009fbeb267ae226c869d94623b7439f1a6e9deb8c7406244, with a prior distribution , dengan distribusi prior ,translated
O006-PSU-012-S0311,O006-PSU-012,Lesson11,credible-intervals,1f406326921bec79f45d42910b78358c2d0f5b66470bd5e3fcfbe7f342f4edb9,", for ",", untuk ",translated
O006-PSU-012-S0312,O006-PSU-012,Lesson11,credible-intervals,196b915b31b37eaa2929a4fe7e5a903da25adf81676afbb4c484991adc0ab4a5,. Find a 90% credible interval for ,. Tentukan selang kredibel 90% untuk ,translated
O006-PSU-012-S0313,O006-PSU-012,Lesson11,credible-intervals,92f1a79f3c70a37bce065d51a9853bc2230306a5fcecf4ddb9fce9e1e935324c, with , dengan ,translated
O006-PSU-012-S0314,O006-PSU-012,Lesson11,solution-5,22927695994eab589c7601a6b15df4d9dc67c5aceb9a74cdb965444b9b8362a6,Solution,Solusi,translated
O006-PSU-012-S0315,O006-PSU-012,Lesson11,solution-5,e85dad7302836ad7c32f0f632607a7b269f1dfdf24e9faf48c92046e1ba64ffc,We know the posterior distribution is a beta distribution with parameters ,Kita mengetahui bahwa distribusi posteriornya adalah distribusi beta dengan parameter ,translated
