segment_id,document_id,component_id,section_id,source_sha256,source_text,target_text,status
O006-PSU-011-S0001,O006-PSU-011,Lesson10,,cb4ad503e340ebd1a921e3ed6dcbfc0a80660936d8bfc9d190f70694b9ccb51b,Lessons,Pelajaran,translated
O006-PSU-011-S0002,O006-PSU-011,Lesson10,,fb0fad0a0dd59fdc6128ecd78dfb597754f2c409ef3ea5a90d0b5345b6fef761,Hypothesis Tests (Part II),Uji Hipotesis (Bagian II),translated
O006-PSU-011-S0003,O006-PSU-011,Lesson10,,fb0fad0a0dd59fdc6128ecd78dfb597754f2c409ef3ea5a90d0b5345b6fef761,Hypothesis Tests (Part II),Uji Hipotesis (Bagian II),translated
O006-PSU-011-S0004,O006-PSU-011,Lesson10,,848e96567d6b48d54c0b53017bd6123cefa97d6e0fab0f14c621ec3fd92178f4,Power,Kuasa,translated
O006-PSU-011-S0005,O006-PSU-011,Lesson10,,8bb034a8cc37ca12e31eeed460fac5cda3646444d523a82c55ac8996c4b822e4,Confidence Intervals,Selang Kepercayaan,translated
O006-PSU-011-S0006,O006-PSU-011,Lesson10,,33db1c9f0bca03d6a9536a5e0f4340f0387a61975be8bc12ba4bec43000b8d0b,Wald Test,Uji Wald,translated
O006-PSU-011-S0007,O006-PSU-011,Lesson10,,ebf11f927da2029a49cbac75d5b1ef4d542ad7e20354b2d878d0093600092c7c,Hypothesis Tests,Uji Hipotesis,translated
O006-PSU-011-S0008,O006-PSU-011,Lesson10,overview,d4b1ea5708dd532930a85188b45aff6f0a3ed458500c7577e0127a538eb0d100,Overview,Gambaran Umum,translated
O006-PSU-011-S0009,O006-PSU-011,Lesson10,overview,0595a96118c61a6df284d87d07bf434f1314198dbd6129309130d66d450b2f5d,"This lesson picks up where our first look at hypothesis testing left off. We move beyond single‑sample tests to compare two populations, explore lesser‑known examples, and show how confidence intervals and hypothesis tests are two sides of the same coin. You’ll also learn why test quality hinges on power—the probability of catching a real effect—and how factors like sample size, significance level (","Pelajaran ini melanjutkan pembahasan awal kita tentang pengujian hipotesis melalui beragam contoh yang kurang dikenal serta menunjukkan bagaimana selang kepercayaan dan uji hipotesis merupakan dua sisi dari hal yang sama. Anda juga akan mempelajari mengapa mutu uji bergantung pada kuasa—peluang mendeteksi efek yang nyata—dan bagaimana faktor-faktor seperti ukuran sampel, tingkat signifikansi (",translated
O006-PSU-011-S0010,O006-PSU-011,Lesson10,overview,811d1ecad67ed6c2ce96841b098967fbfb6285c7ac9861fbd0baf1de19c458a6,"), and effect size work together. Finally, we preview the Wald test, a general method that leverages maximum‑likelihood estimators when classic test statistics are hard to derive.","), dan ukuran efek saling berkaitan. Terakhir, kita meninjau sekilas uji Wald, suatu metode umum yang memanfaatkan penduga kemungkinan maksimum ketika statistik uji klasik sulit diturunkan.",translated
O006-PSU-011-S0011,O006-PSU-011,Lesson10,objectives,eba92953899468e3f79c084370cc455f39c256e77b5277ff480e3384ff9ecc27,Objectives,Tujuan,translated
O006-PSU-011-S0012,O006-PSU-011,Lesson10,objectives,25aef8be8be2a587942663b20614423b057589f18636ba6d72bd7bf691a84629,"Upon completion of this lesson, you should be able to:","Setelah menyelesaikan pelajaran ini, Anda diharapkan mampu:",translated
O006-PSU-011-S0013,O006-PSU-011,Lesson10,objectives,de0558f39584477ba30c658de02edb29e3b8c1dd5dac0902cbd8695e957eaf07,"Link confidence intervals to hypothesis tests,","Menghubungkan selang kepercayaan dengan uji hipotesis,",translated
O006-PSU-011-S0014,O006-PSU-011,Lesson10,objectives,b20bb67a4d0a9ff2825894ba4eb49515a19f3bcd324a2d885afb8aa26986175a,"Determine the Power of a test,","Menentukan kuasa suatu uji,",translated
O006-PSU-011-S0015,O006-PSU-011,Lesson10,objectives,a90b8394a31c68e941f28424571718ed2e2350efdb099f3f3cf88425340f9286,"Find the sample size required for a given significance level and desired power,","Menentukan ukuran sampel yang diperlukan untuk suatu tingkat signifikansi dan kuasa yang diinginkan,",translated
O006-PSU-011-S0016,O006-PSU-011,Lesson10,objectives,1fda481783b435a7d7b56dcda97c95f862e2014d0e0349e1431040f2014d95a3,Numerically construct simple hypothesis tests focused on parameters estimated using numerical maximum likelihood inference in R,Menyusun secara numerik uji hipotesis sederhana untuk parameter yang diduga melalui pendugaan kemungkinan maksimum numerik di R,translated
O006-PSU-011-S0017,O006-PSU-011,Lesson10,other-hypothesis-test-examples,0bdc2a99a9c19272bab19c387503e7df43380618908da51fbdbf1014240d3ec2, Other Hypothesis Test Examples, Contoh Uji Hipotesis Lain,translated
O006-PSU-011-S0018,O006-PSU-011,Lesson10,other-hypothesis-test-examples,82c0b84d9e5c48e3638d7dfcffcbb87a92f337e6c0334630bb32e2ae4c2ae26b,"In this section, we will continue with some examples of hypothesis tests that may not be as familiar as the ones we have seen so far.","Pada bagian ini, kita akan melanjutkan dengan beberapa contoh uji hipotesis yang mungkin tidak seakrab contoh-contoh yang telah kita lihat sejauh ini.",translated
O006-PSU-011-S0019,O006-PSU-011,Lesson10,other-hypothesis-test-examples,3560563e5397f0257826add6e1b68ae7d7c80b0ddc41029ff2e86545db34bb0b,Example 10.1,Contoh 10.1,translated
O006-PSU-011-S0020,O006-PSU-011,Lesson10,other-hypothesis-test-examples,5c0114a68e34a23e9411f13e3c48fb9b6c4bdfe757a316450df5d593ef16d87c,Part I,Bagian I,translated
O006-PSU-011-S0021,O006-PSU-011,Lesson10,other-hypothesis-test-examples,b3e50cac6aca53270efdd7ee75dfd7780bcd27488425595062d95c389f460378,"
Suppose we have a random sample of size ","
Misalkan kita memiliki sampel acak berukuran ",translated
O006-PSU-011-S0022,O006-PSU-011,Lesson10,other-hypothesis-test-examples,34d48753a351c243349cd9e10605e57798bb719598080dc25b94b43b3bb57c7f, from a Uniform distribution over the interval , dari distribusi Seragam pada selang ,translated
O006-PSU-011-S0023,O006-PSU-011,Lesson10,other-hypothesis-test-examples,1324187b5d66db55fef80a495df6d2bf711491b8dd33cabb80ed2765d4da7116,. We wish to test the following hypotheses:,. Kita ingin menguji hipotesis berikut:,translated
