path,role,bytes,sha256
CP02_cells_clean.csv,analysis_ready_cell_table,3336,13f271df4677a54b4eeed6307fc0165616ab89a123ee62666add42560be84ad8
CP02_contrasts.csv,prespecified_probability_and_odds_contrasts,78922,39f9e5d170f60b3572f46006aaf9d575e0bd1329589b44174de633d90660500b
CP02_coverage.csv,full_fixed_parameter_coverage_ledger,135581717,86997c120a94e342d943ae72eb827871564e96545de911d1e3a3c677a5bc347e
CP02_coverage.svg,accessible_static_coverage_figure,62481,f9ddd50d0d05b216b16d1b851abb3b3154bba492c0630e4bfe8bb7744c014137
CP02_coverage.txt,coverage_figure_text_equivalent,560,0c38bdeb84a0cd93fd884658ce32d5b2a96e71ee3d688f9b88fc02eeecce08ec
CP02_diagnostics.csv,posterior_predictive_and_identifiability_diagnostics,11303,b5d0d9a90ae3336dd3285380b66c4baadc7cd9c39e9bc14f00b7ca4045ea8113
CP02_diagnostics.txt,diagnostic_text_equivalent,629,df82834968a00e58b0c253754206c312b3ac61f92f62ba064abd9afe36d84e72
CP02_dispersion_profile.csv,deterministic_overdispersion_identifiability_profile,24717,f895a81a408b0158cc01d667e3cd2d575882c01188eb2c731441997db786dc1e
CP02_frequentist_comparison.csv,interval_test_power_coverage_and_homogeneity_summary,3716597,e8bc7769186560f1a568372a000c760380027ff5f9cabcad133e8f7423e986f7
CP02_influence.csv,typed_leave_one_cell_out_metrics,17854,fa8383dd7e8128e2a1f52e6c1ba3a59b705a99eecc963ffd7fa6d0c4f5fab2ba
CP02_intervals.svg,accessible_static_interval_figure,12334,2c23ff26fc81a5f173ce2eed8e32b8a3f4837526d4c0665b3f1b1c898b4e1799
CP02_intervals.txt,interval_figure_text_equivalent,750,471fd5b41937ec3fb664ee0f70a82a8a7aac9773fbd5bc3337c64951ea674e75
CP02_model_comparison.csv,model_evidence_odds_and_loss,1415,7b485760abefa32ed718a206dd7208bd5697353dfafa2a82b8c1dc5ecf433292
CP02_posterior_predictive.csv,exact_beta_binomial_predictive_marginals,301075,5a0d8e04e0fc3a75e9d4ce038dcf660ddbda545e61190cc71581fa5afa34a8f3
CP02_posterior_summary.csv,primary_cell_posterior_and_loss_summary,7506,30b1da31e41e32f252ad0cb3d31a9de5442c70aae1565ed24d9cff6a2179695b
CP02_sensitivity.csv,prior_denominator_and_loo_sensitivity,41114,f8836f90a182fd345588cda8f0a34254fe7a5897df17e832496c40e55837d543
CP02_sensitivity.svg,accessible_static_sensitivity_figure,9207,397cacddf7fd29737424222df1e0cb3605b1452ea31477f32ed52ddace9d11c6
CP02_sensitivity.txt,sensitivity_figure_text_equivalent,690,d18e74a2f53fca95678140ed05c6174bafd870c180063073e9df4ab1829581d3
