cell_id,source_record,cell_order,transmitter,year,nests_initiated,hens_available_primary,hens_available_secondary,group_label,time_label,cell_label,successes,trials_primary,trials_secondary,failures_primary,failures_secondary,observed_rate,observed_rate_secondary,denominator_id,model_assumption_status
CP02-VHF-2015,1,1,VHF,2015,15,15,15,VHF,2015,VHF — 2015,15,15,15,0,0,1,1,primary_conservative_method_1,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen
CP02-VHF-2016,2,2,VHF,2016,32,32,32,VHF,2016,VHF — 2016,32,32,32,0,0,1,1,primary_conservative_method_1,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen
CP02-VHF-2017,3,3,VHF,2017,19,19,22,VHF,2017,VHF — 2017,19,19,22,0,3,1,0.863636363636364,primary_conservative_method_1,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen
CP02-VHF-2018,4,4,VHF,2018,25,25,27,VHF,2018,VHF — 2018,25,25,27,0,2,1,0.925925925925926,primary_conservative_method_1,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen
CP02-VHF-2019,5,5,VHF,2019,24,26,31,VHF,2019,VHF — 2019,24,26,31,2,7,0.923076923076923,0.774193548387097,primary_conservative_method_1,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen
CP02-PTT-2019,9,6,PTT,2019,17,18,20,PTT,2019,PTT — 2019,17,18,20,1,3,0.944444444444444,0.85,primary_conservative_method_1,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen
CP02-VHF-2020,6,7,VHF,2020,24,24,26,VHF,2020,VHF — 2020,24,24,26,0,2,1,0.923076923076923,primary_conservative_method_1,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen
CP02-PTT-2020,10,8,PTT,2020,20,21,23,PTT,2020,PTT — 2020,20,21,23,1,3,0.952380952380952,0.869565217391304,primary_conservative_method_1,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen
CP02-VHF-2021,7,9,VHF,2021,15,16,21,VHF,2021,VHF — 2021,15,16,21,1,6,0.9375,0.714285714285714,primary_conservative_method_1,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen
CP02-PTT-2021,11,10,PTT,2021,18,20,20,PTT,2021,PTT — 2021,18,20,20,2,2,0.9,0.9,primary_conservative_method_1,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen
CP02-VHF-2022,8,11,VHF,2022,12,12,16,VHF,2022,VHF — 2022,12,12,16,0,4,1,0.75,primary_conservative_method_1,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen
CP02-PTT-2022,12,12,PTT,2022,24,24,24,PTT,2022,PTT — 2022,24,24,24,0,0,1,1,primary_conservative_method_1,conditional_illustrative: aggregate evidence does not prove disjoint independent Bernoulli units or one qualifying initiation per hen
