schema_version,relation_id,relation_type,source_entity_id,target_entity_id,target_ref,source_path,source_order
o006.random.backend.relation.v1,O006-90-005468,asset-target,O006-016-06-0001,,random/icons/Icon.svg,random/point/Sufficient.html,2
o006.random.backend.relation.v1,O006-90-005469,contains,O006-016-00-0001,O006-016-06-0001,,random/point/Sufficient.html,2
o006.random.backend.relation.v1,O006-90-005470,asset-target,O006-016-06-0002,,random/Screen.css,random/point/Sufficient.html,3
o006.random.backend.relation.v1,O006-90-005471,contains,O006-016-00-0001,O006-016-06-0002,,random/point/Sufficient.html,3
o006.random.backend.relation.v1,O006-90-005472,contains,O006-016-00-0001,O006-016-07-0001,,random/point/Sufficient.html,4
o006.random.backend.relation.v1,O006-90-005473,internal-link-target,O006-016-07-0001,O006-017-00-0001,random/interval/index.html,random/point/Sufficient.html,4
o006.random.backend.relation.v1,O006-90-005474,asset-target,O006-016-06-0003,,random/Basic.js,random/point/Sufficient.html,5
o006.random.backend.relation.v1,O006-90-005475,contains,O006-016-00-0001,O006-016-06-0003,,random/point/Sufficient.html,5
o006.random.backend.relation.v1,O006-90-005476,asset-target,O006-016-06-0004,,MathJax/tex-svg.js,random/point/Sufficient.html,6
o006.random.backend.relation.v1,O006-90-005477,contains,O006-016-00-0001,O006-016-06-0004,,random/point/Sufficient.html,6
o006.random.backend.relation.v1,O006-90-005478,contains,O006-016-00-0001,O006-016-04-0001,,random/point/Sufficient.html,7
o006.random.backend.relation.v1,O006-90-005479,contains,O006-016-00-0001,O006-016-07-0002,,random/point/Sufficient.html,8
o006.random.backend.relation.v1,O006-90-005480,internal-link-reference,O006-016-07-0002,,random/index.html,random/point/Sufficient.html,8
o006.random.backend.relation.v1,O006-90-005481,contains,O006-016-00-0001,O006-016-07-0003,,random/point/Sufficient.html,9
o006.random.backend.relation.v1,O006-90-005482,internal-link-target,O006-016-07-0003,O006-010-00-0001,random/point/index.html,random/point/Sufficient.html,9
o006.random.backend.relation.v1,O006-90-005483,contains,O006-016-00-0001,O006-016-07-0004,,random/point/Sufficient.html,10
o006.random.backend.relation.v1,O006-90-005484,internal-link-target,O006-016-07-0004,O006-011-00-0001,random/point/Estimators.html,random/point/Sufficient.html,10
o006.random.backend.relation.v1,O006-90-005485,contains,O006-016-00-0001,O006-016-07-0005,,random/point/Sufficient.html,11
o006.random.backend.relation.v1,O006-90-005486,internal-link-target,O006-016-07-0005,O006-012-00-0001,random/point/Moments.html,random/point/Sufficient.html,11
o006.random.backend.relation.v1,O006-90-005487,contains,O006-016-00-0001,O006-016-07-0006,,random/point/Sufficient.html,12
o006.random.backend.relation.v1,O006-90-005488,internal-link-target,O006-016-07-0006,O006-013-00-0001,random/point/Likelihood.html,random/point/Sufficient.html,12
o006.random.backend.relation.v1,O006-90-005489,contains,O006-016-00-0001,O006-016-07-0007,,random/point/Sufficient.html,13
o006.random.backend.relation.v1,O006-90-005490,internal-link-target,O006-016-07-0007,O006-014-00-0001,random/point/Bayes.html,random/point/Sufficient.html,13
o006.random.backend.relation.v1,O006-90-005491,contains,O006-016-00-0001,O006-016-07-0008,,random/point/Sufficient.html,14
o006.random.backend.relation.v1,O006-90-005492,internal-link-target,O006-016-07-0008,O006-015-00-0001,random/point/Unbiased.html,random/point/Sufficient.html,14
o006.random.backend.relation.v1,O006-90-005493,asset-target,O006-016-06-0005,,random/icons/Plus.svg,random/point/Sufficient.html,15
o006.random.backend.relation.v1,O006-90-005494,contains,O006-016-00-0001,O006-016-06-0005,,random/point/Sufficient.html,15
o006.random.backend.relation.v1,O006-90-005495,asset-target,O006-016-06-0006,,random/icons/Minus.svg,random/point/Sufficient.html,16
o006.random.backend.relation.v1,O006-90-005496,contains,O006-016-00-0001,O006-016-06-0006,,random/point/Sufficient.html,16
o006.random.backend.relation.v1,O006-90-005497,contains,O006-016-00-0001,O006-016-01-0001,,random/point/Sufficient.html,17
o006.random.backend.relation.v1,O006-90-005498,contains,O006-016-01-0001,O006-016-01-0002,,random/point/Sufficient.html,18
o006.random.backend.relation.v1,O006-90-005499,contains,O006-016-01-0002,O006-016-01-0003,,random/point/Sufficient.html,19
o006.random.backend.relation.v1,O006-90-005500,contains,O006-016-01-0003,O006-016-04-0002,,random/point/Sufficient.html,20
o006.random.backend.relation.v1,O006-90-005501,contains,O006-016-04-0002,O006-016-07-0009,,random/point/Sufficient.html,21
o006.random.backend.relation.v1,O006-90-005502,internal-link-target,O006-016-07-0009,O006-002-00-0001,random/sample/Introduction.html,random/point/Sufficient.html,21
o006.random.backend.relation.v1,O006-90-005503,contains,O006-016-04-0002,O006-016-07-0010,,random/point/Sufficient.html,22
o006.random.backend.relation.v1,O006-90-005504,internal-link-reference,O006-016-07-0010,,random/prob/Experiments.html,random/point/Sufficient.html,22
o006.random.backend.relation.v1,O006-90-005505,contains,O006-016-04-0002,O006-016-07-0011,,random/point/Sufficient.html,23
o006.random.backend.relation.v1,O006-90-005506,internal-link-reference,O006-016-07-0011,,random/prob/Probability.html,random/point/Sufficient.html,23
o006.random.backend.relation.v1,O006-90-005507,contains,O006-016-01-0003,O006-016-04-0003,,random/point/Sufficient.html,24
o006.random.backend.relation.v1,O006-90-005508,contains,O006-016-04-0003,O006-016-07-0012,,random/point/Sufficient.html,25
